target_id,target_type,models,max_pairwise_total_variation,max_option_difference,accepted,consensus_mean
marginal:relationship_status,marginal,3,0.02000000000000001,0.020000000000000018,True,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]"
marginal:children_at_home,marginal,3,0.05999999999999997,0.05999999999999994,True,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]"
marginal:household_income,marginal,3,0.07,0.07,True,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]"
marginal:marriage_importance,marginal,3,0.12,0.12,False,"[0.20000000000000004, 0.22, 0.3, 0.28]"
marginal:parenthood_importance,marginal,3,0.09999999999999999,0.09999999999999998,True,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]"
marginal:paid_work_priority,marginal,3,0.08000000000000002,0.08000000000000002,True,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]"
marginal:childcare_division,marginal,3,0.22000000000000003,0.22,False,"[0.08, 0.42, 0.24666666666666667, 0.25333333333333335]"
marginal:housework_division,marginal,3,0.09000000000000005,0.08000000000000007,True,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]"
marginal:financial_decision_style,marginal,3,0.22999999999999998,0.22999999999999998,False,"[0.04666666666666667, 0.08666666666666667, 0.6766666666666667, 0.19000000000000003]"
marginal:career_sacrifice_rule,marginal,3,0.18,0.18,False,"[0.1366666666666667, 0.2333333333333333, 0.2733333333333333, 0.3566666666666667]"
