support_id,job_id,weight
1,pew_work_family_blueprints_001,0.0
2,pew_work_family_blueprints_002,0.0
3,pew_work_family_blueprints_003,0.0
4,pew_work_family_blueprints_004,0.0
5,pew_work_family_blueprints_005,0.0
6,pew_work_family_blueprints_006,0.0
7,pew_work_family_blueprints_007,0.0
8,pew_work_family_blueprints_008,0.0
9,pew_work_family_blueprints_009,0.0
10,pew_work_family_blueprints_010,0.0
11,pew_work_family_blueprints_011,0.0
12,pew_work_family_blueprints_012,0.0
13,pew_work_family_blueprints_013,0.0
14,pew_work_family_blueprints_014,0.0
15,pew_work_family_blueprints_015,0.0
16,pew_work_family_blueprints_016,0.0
17,pew_work_family_blueprints_017,0.0
18,pew_work_family_blueprints_018,0.0
19,pew_work_family_blueprints_019,0.0
20,pew_work_family_blueprints_020,0.0
21,pew_work_family_blueprints_021,0.0
22,pew_work_family_blueprints_022,0.0
23,pew_work_family_blueprints_023,0.0
24,pew_work_family_blueprints_024,0.0
25,pew_work_family_blueprints_025,0.0
26,pew_work_family_blueprints_026,0.0
27,pew_work_family_blueprints_027,0.0
28,pew_work_family_blueprints_028,0.0
29,pew_work_family_blueprints_029,0.0
30,pew_work_family_blueprints_030,0.0
31,pew_work_family_blueprints_031,0.14057817895374153
32,pew_work_family_blueprints_032,0.0
33,pew_work_family_blueprints_033,0.0
34,pew_work_family_blueprints_034,0.0
35,pew_work_family_blueprints_035,0.0
36,pew_work_family_blueprints_036,0.0
37,pew_work_family_blueprints_037,0.0
38,pew_work_family_blueprints_038,0.0
39,pew_work_family_blueprints_039,0.16852527247340585
40,pew_work_family_blueprints_040,0.0
41,pew_work_family_blueprints_041,0.0
42,pew_work_family_blueprints_042,0.09878651833595606
43,pew_work_family_blueprints_043,0.0
44,pew_work_family_blueprints_044,0.0
45,pew_work_family_blueprints_045,0.0
46,pew_work_family_blueprints_046,0.0
47,pew_work_family_blueprints_047,0.0
48,pew_work_family_blueprints_048,0.0
49,pew_work_family_blueprints_049,0.0
50,pew_work_family_blueprints_050,0.0
51,pew_work_family_blueprints_051,0.0
52,pew_work_family_blueprints_052,0.0
53,pew_work_family_blueprints_053,0.0
54,pew_work_family_blueprints_054,0.0
55,pew_work_family_blueprints_055,0.0
56,pew_work_family_blueprints_056,0.0
57,pew_work_family_blueprints_057,0.00630313188019118
58,pew_work_family_blueprints_058,0.0
59,pew_work_family_blueprints_059,0.0
60,pew_work_family_blueprints_060,0.0
61,pew_work_family_blueprints_061,0.0
62,pew_work_family_blueprints_062,0.0
63,pew_work_family_blueprints_063,0.0
64,pew_work_family_blueprints_064,0.0
65,pew_work_family_blueprints_065,0.0
66,pew_work_family_blueprints_066,0.0
67,pew_work_family_blueprints_067,0.0
68,pew_work_family_blueprints_068,0.0
69,pew_work_family_blueprints_069,0.0
70,pew_work_family_blueprints_070,0.0
71,pew_work_family_blueprints_071,0.0
72,pew_work_family_blueprints_072,0.0
73,pew_work_family_blueprints_073,0.0
74,pew_work_family_blueprints_074,0.0
75,pew_work_family_blueprints_075,0.0
76,pew_work_family_blueprints_076,0.0
77,pew_work_family_blueprints_077,0.0
78,pew_work_family_blueprints_078,0.0
79,pew_work_family_blueprints_079,0.0
80,pew_work_family_blueprints_080,0.0
81,pew_work_family_blueprints_081,0.0
82,pew_work_family_blueprints_082,0.0
83,pew_work_family_blueprints_083,0.0
84,pew_work_family_blueprints_084,0.0
85,pew_work_family_blueprints_085,0.0
86,pew_work_family_blueprints_086,0.0
87,pew_work_family_blueprints_087,0.0
88,pew_work_family_blueprints_088,0.0
89,pew_work_family_blueprints_089,0.0
90,pew_work_family_blueprints_090,0.0
91,pew_work_family_blueprints_091,0.0
92,pew_work_family_blueprints_092,0.0
93,pew_work_family_blueprints_093,0.0
94,pew_work_family_blueprints_094,0.0
95,pew_work_family_blueprints_095,0.0
96,pew_work_family_blueprints_096,0.0
97,pew_work_family_repair1_001,0.0
98,pew_work_family_repair1_002,0.0
99,pew_work_family_repair1_003,0.0
100,pew_work_family_repair1_004,0.0
101,pew_work_family_repair1_005,0.0
102,pew_work_family_repair1_006,0.0
103,pew_work_family_repair1_007,0.0
104,pew_work_family_repair1_008,0.0
105,pew_work_family_repair1_009,0.0
106,pew_work_family_repair1_010,0.0
107,pew_work_family_repair1_011,0.0
108,pew_work_family_repair1_012,0.0
109,pew_work_family_repair1_013,0.0
110,pew_work_family_repair1_014,0.0
111,pew_work_family_repair1_015,0.0
112,pew_work_family_repair1_016,0.0
113,pew_work_family_repair1_017,0.0
114,pew_work_family_repair1_018,0.0
115,pew_work_family_repair1_019,0.0
116,pew_work_family_repair1_020,0.0
117,pew_work_family_repair1_021,0.0
118,pew_work_family_repair1_022,0.0
119,pew_work_family_repair1_023,0.19277539492654602
120,pew_work_family_repair1_024,0.0
121,pew_work_family_repair1_025,0.0
122,pew_work_family_repair1_026,0.0
123,pew_work_family_repair1_027,0.0
124,pew_work_family_repair1_028,0.0
125,pew_work_family_repair1_029,0.0
126,pew_work_family_repair1_030,0.0
127,pew_work_family_repair1_031,0.0
128,pew_work_family_repair1_032,0.0
129,pew_work_family_repair1_033,0.0
130,pew_work_family_repair1_034,0.0
131,pew_work_family_repair1_035,0.0
132,pew_work_family_repair1_036,0.0
133,pew_work_family_repair1_037,0.0
134,pew_work_family_repair1_038,0.0
135,pew_work_family_repair1_039,0.0
136,pew_work_family_repair1_040,0.0
137,pew_work_family_repair1_041,0.0
138,pew_work_family_repair1_042,0.0
139,pew_work_family_repair1_043,0.0
140,pew_work_family_repair1_044,0.0
141,pew_work_family_repair1_045,0.0
142,pew_work_family_repair1_046,0.0
143,pew_work_family_repair1_047,0.0
144,pew_work_family_repair1_048,0.007127425776716184
145,pew_work_family_repair1_049,0.0
146,pew_work_family_repair1_050,0.0
147,pew_work_family_repair1_051,0.0
148,pew_work_family_repair1_052,0.0
149,pew_work_family_repair1_053,0.0
150,pew_work_family_repair1_054,0.0
151,pew_work_family_repair1_055,0.0
152,pew_work_family_repair1_056,0.0
153,pew_work_family_repair1_057,0.0
154,pew_work_family_repair1_058,0.0
155,pew_work_family_repair1_059,0.0
156,pew_work_family_repair1_060,0.0
157,pew_work_family_repair1_061,0.0
158,pew_work_family_repair1_062,0.0
159,pew_work_family_repair1_063,0.0
160,pew_work_family_repair1_064,0.0
161,pew_work_family_repair1_065,0.0
162,pew_work_family_repair1_066,0.0
163,pew_work_family_repair1_067,0.0
164,pew_work_family_repair1_068,0.0
165,pew_work_family_repair1_069,0.0
166,pew_work_family_repair1_070,0.0
167,pew_work_family_repair1_071,0.0
168,pew_work_family_repair1_072,0.0
169,pew_work_family_repair1_073,0.0
170,pew_work_family_repair1_074,0.0
171,pew_work_family_repair1_075,0.0
172,pew_work_family_repair1_076,0.0
173,pew_work_family_repair1_077,0.0
174,pew_work_family_repair1_078,0.0
175,pew_work_family_repair1_079,0.0
176,pew_work_family_repair1_080,0.0
177,pew_work_family_repair1_081,0.0
178,pew_work_family_repair1_082,0.0
179,pew_work_family_repair1_083,0.0
180,pew_work_family_repair1_084,0.0
181,pew_work_family_repair1_085,0.0
182,pew_work_family_repair1_086,0.0
183,pew_work_family_repair1_087,0.0
184,pew_work_family_repair1_088,0.0
185,pew_work_family_repair1_089,0.0
186,pew_work_family_repair1_090,0.0
187,pew_work_family_repair1_091,0.0
188,pew_work_family_repair1_092,0.0
189,pew_work_family_repair1_093,0.0
190,pew_work_family_repair1_094,0.0
191,pew_work_family_repair1_095,0.0
192,pew_work_family_repair1_096,0.0
193,pew_work_family_repair1_097,0.0
194,pew_work_family_repair1_098,0.0
195,pew_work_family_repair1_099,0.0
196,pew_work_family_repair1_100,0.0
197,pew_work_family_repair1_101,0.0
198,pew_work_family_repair1_102,0.0
199,pew_work_family_repair1_103,0.0
200,pew_work_family_repair1_104,0.0
201,pew_work_family_repair1_105,0.05096840641131742
202,pew_work_family_repair1_106,0.0
203,pew_work_family_repair1_107,0.0
204,pew_work_family_repair1_108,0.0
205,pew_work_family_repair1_109,0.0
206,pew_work_family_repair1_110,0.0
207,pew_work_family_repair1_111,0.0
208,pew_work_family_repair1_112,0.0
209,pew_work_family_repair1_113,0.0
210,pew_work_family_repair1_114,0.0
211,pew_work_family_repair1_115,0.0
212,pew_work_family_repair1_116,0.0011841446377089746
213,pew_work_family_repair1_117,0.0
214,pew_work_family_repair1_118,0.0
215,pew_work_family_repair1_119,0.11584182203441043
216,pew_work_family_repair1_120,0.0
217,pew_work_family_repair1_121,0.0
218,pew_work_family_repair1_122,0.0
219,pew_work_family_repair1_123,0.0
220,pew_work_family_repair1_124,0.0
221,pew_work_family_repair1_125,0.0
222,pew_work_family_repair1_126,0.0
223,pew_work_family_repair1_127,0.0
224,pew_work_family_repair1_128,0.04678954709511112
225,pew_work_family_repair1_129,0.0
226,pew_work_family_repair1_130,0.0
227,pew_work_family_repair1_131,0.0
228,pew_work_family_repair1_132,0.0
229,pew_work_family_repair1_133,0.0
230,pew_work_family_repair1_134,0.0
231,pew_work_family_repair1_135,0.0
232,pew_work_family_repair1_136,0.0
233,pew_work_family_repair1_137,0.0
234,pew_work_family_repair1_138,0.0
235,pew_work_family_repair1_139,0.0
236,pew_work_family_repair1_140,0.0
237,pew_work_family_repair1_141,0.0
238,pew_work_family_repair1_142,0.0
239,pew_work_family_repair1_143,0.0
240,pew_work_family_repair1_144,0.0
241,pew_work_family_repair1_145,0.0
242,pew_work_family_repair1_146,0.0
243,pew_work_family_repair1_147,0.0
244,pew_work_family_repair1_148,0.0
245,pew_work_family_repair1_149,0.0
246,pew_work_family_repair1_150,0.0
247,pew_work_family_repair1_151,0.0
248,pew_work_family_repair1_152,0.0
249,pew_work_family_repair1_153,0.1387853425973788
250,pew_work_family_repair1_154,0.0
251,pew_work_family_repair1_155,0.0
252,pew_work_family_repair1_156,0.0
253,pew_work_family_repair1_157,0.0
254,pew_work_family_repair1_158,0.0
255,pew_work_family_repair1_159,0.0
256,pew_work_family_repair1_160,0.0
257,pew_work_family_repair1_161,0.0
258,pew_work_family_repair1_162,0.0
259,pew_work_family_repair1_163,0.0
260,pew_work_family_repair1_164,0.0
261,pew_work_family_repair1_165,0.0
262,pew_work_family_repair1_166,0.0
263,pew_work_family_repair1_167,0.0
264,pew_work_family_repair1_168,0.0
265,pew_work_family_repair1_169,0.0
266,pew_work_family_repair1_170,0.0
267,pew_work_family_repair1_171,0.032334814877149835
268,pew_work_family_repair1_172,0.0
269,pew_work_family_repair1_173,0.0
270,pew_work_family_repair1_174,0.0
271,pew_work_family_repair1_175,0.0
272,pew_work_family_repair1_176,0.0
273,pew_work_family_repair1_177,0.0
274,pew_work_family_repair1_178,0.0
275,pew_work_family_repair1_179,0.0
276,pew_work_family_repair1_180,0.0
277,pew_work_family_repair1_181,0.0
278,pew_work_family_repair1_182,0.0
279,pew_work_family_repair1_183,0.0
280,pew_work_family_repair1_184,0.0
281,pew_work_family_repair1_185,0.0
282,pew_work_family_repair1_186,0.0
283,pew_work_family_repair1_187,0.0
284,pew_work_family_repair1_188,0.0
285,pew_work_family_repair1_189,0.0
286,pew_work_family_repair1_190,0.0
287,pew_work_family_repair1_191,0.0
288,pew_work_family_repair1_192,0.0
