target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.32230734416079915, 0.677692655839201]",0.002316466686836355,0.002316466686836438
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.20006832516265638, 0.7999316748373437]",0.009363497502942256,0.009363497502942325
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.31336750493130966, 0.6866324950686904]",0.025745688735924338,0.025745688735924366
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.20656068581805592, 0.7934393141819445]",0.09697751837933129,0.09697751837933147
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5610734683205816, 0.4389265316794186]",0.01144338666377065,0.01144338666377076
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.4861909459760655, 0.08385822895659303, 0.107541299392966, 0.3224095256743755]",0.006903936293746386,0.010874632726299321
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6671334308251737, 0.08799604649948353, 0.1696394160863866, 0.07523110658895607]",0.0038760490383581304,0.006199902508159605
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.29623180462972976, 0.2844699284872072, 0.1888891452096359, 0.2304091216734271]",0.0015907195728576964,0.002222478542969225
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.14475493975026985, 0.16326564728409648, 0.27581630256642675, 0.41616311039920695]",0.002393345160392584,0.0038368896007930364
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.08771937144222236, 0.1586540158601675, 0.34331660949155096, 0.41031000320605915]",0.017166948761204177,0.02668339050844898
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07311725180982548, 0.47387147347008046, 0.2777401197579479, 0.17527115496214615]",0.013445837956337532,0.022795193196586183
