item,option,covered,support_rows
hobbies,Men and women are basically similar,True,31
hobbies,Men and women are basically different,True,65
physical_abilities,Men and women are basically similar,True,18
physical_abilities,Men and women are basically different,True,78
parenting,Men and women are basically similar,True,28
parenting,Men and women are basically different,True,68
feelings,Men and women are basically similar,True,11
feelings,Men and women are basically different,True,85
workplace,Men and women are basically similar,True,55
workplace,Men and women are basically different,True,41
relationship_status,Married,True,47
relationship_status,Living with a partner,True,8
relationship_status,In a relationship but not living together,True,9
relationship_status,Not currently in a relationship,True,32
children_at_home,No children under 18,True,65
children_at_home,At least one child under 6,True,8
children_at_home,Only children ages 6 to 17,True,16
children_at_home,Children both under 6 and ages 6 to 17,True,7
household_income,"Less than $50,000",True,28
household_income,"$50,000 to $99,999",True,28
household_income,"$100,000 to $149,999",True,18
household_income,"$150,000 or more",True,22
marriage_importance,Not at all important,True,24
marriage_importance,Not too important,True,24
marriage_importance,Somewhat important,True,24
marriage_importance,Very important,True,24
parenthood_importance,Not at all important,True,14
parenthood_importance,Not too important,True,16
parenthood_importance,Somewhat important,True,26
parenthood_importance,Very important,True,40
paid_work_priority,Not at all important,True,7
paid_work_priority,Not too important,True,14
paid_work_priority,Somewhat important,True,35
paid_work_priority,Very important,True,40
childcare_division,One parent should do most of it,True,24
childcare_division,Both parents should divide it about equally,True,24
childcare_division,The parent with more available time should do more,True,24
childcare_division,It depends entirely on the family,True,24
housework_division,One person should do most of it,True,6
housework_division,Both adults should divide it about equally,True,48
housework_division,The person with more available time should do more,True,26
housework_division,It depends entirely on the household,True,16
financial_decision_style,The higher earner should usually decide,True,24
financial_decision_style,The person who manages the money should usually decide,True,24
financial_decision_style,Both adults should decide together,True,24
financial_decision_style,It depends on the decision,True,24
career_sacrifice_rule,The lower earner should reduce work,True,24
career_sacrifice_rule,The adult with the more flexible job should reduce work,True,24
career_sacrifice_rule,Both adults should reduce work as equally as possible,True,24
career_sacrifice_rule,It depends entirely on the family,True,24
