target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.31910783478383475, 0.6808921652161652]",0.0008830426901279553,0.0008830426901279553
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.20212682776990687, 0.7978731722300931]",0.011422000110192801,0.011422000110192815
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.30528707372797403, 0.694712926272026]",0.01766525753258874,0.01766525753258874
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.20109329918717236, 0.7989067008128276]",0.09151013174844796,0.09151013174844802
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5687563865272167, 0.43124361347278306]",0.0037604684571353186,0.003760468457135402
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.48605208033006364, 0.08571300396299329, 0.10294194799698025, 0.3252929677099628]",0.004549291449774671,0.006275281330313576
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6684022225676328, 0.08939016681004468, 0.16815754037078579, 0.07405007025153676]",0.002886869733427144,0.004931110765700519
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2931545988077938, 0.284061615833478, 0.1921574616744725, 0.23062632368425567]",0.0035235643056438595,0.005490795007805832
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.1523240336736652, 0.1563279134155346, 0.2727172925326371, 0.41863076037816316]",0.005748106737101903,0.008990700340331864
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.08296350076474654, 0.15784817118718375, 0.3448266048201406, 0.4143617232279291]",0.015230198669720293,0.025173395179859337
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07568737470604897, 0.48139835191891545, 0.2750192669147753, 0.16789500646026034]",0.009194371138448443,0.0152683147477512
