target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3198371473570936, 0.6801628526429067]",0.00015373011686922733,0.0001537301168693661
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.2039580462478665, 0.7960419537521337]",0.01325321858815233,0.013253218588152454
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.30720505283957067, 0.6927949471604294]",0.01958323664418532,0.019583236644185376
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.2006584655064499, 0.79934153449355]",0.09107529806772546,0.09107529806772552
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5691228781910829, 0.43087712180891713]",0.0033939767932692766,0.0033939767932693043
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.4859045349883344, 0.0852971694820118, 0.10395204162566432, 0.32484625390398947]",0.005006677371170601,0.007285374958997642
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6672916119147253, 0.09063034162335318, 0.16764008253294876, 0.07443796392897206]",0.0035498687211387866,0.006041721418608037
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.29345005959811493, 0.2837639448899275, 0.19212540492865152, 0.23066059058330596]",0.003500234209243103,0.005458738261984841
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.15228179936391553, 0.1567398296478711, 0.27272976890546696, 0.41824860208274667]",0.005634292764709528,0.008948466030582192
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.08328506737909841, 0.15763706437984243, 0.344757861748899, 0.4143200064921601]",0.015288735303013773,0.025242138251100943
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07624507396241298, 0.4803261132168347, 0.2746039566735589, 0.16882485614719328]",0.009880927080212295,0.01634055344983193
