support_id,job_id,weight
1,pew_work_family_detailed_001,0.0
2,pew_work_family_detailed_002,0.0
3,pew_work_family_detailed_003,0.0
4,pew_work_family_detailed_004,0.0
5,pew_work_family_detailed_005,0.0
6,pew_work_family_detailed_006,0.0
7,pew_work_family_detailed_007,0.0
8,pew_work_family_detailed_008,0.0
9,pew_work_family_detailed_009,0.0
10,pew_work_family_detailed_010,0.0
11,pew_work_family_detailed_011,0.0
12,pew_work_family_detailed_012,0.0
13,pew_work_family_detailed_013,0.0
14,pew_work_family_detailed_014,0.0
15,pew_work_family_detailed_015,0.0
16,pew_work_family_detailed_016,0.0
17,pew_work_family_detailed_017,0.0
18,pew_work_family_detailed_018,0.0
19,pew_work_family_detailed_019,0.0
20,pew_work_family_detailed_020,0.0
21,pew_work_family_detailed_021,0.0
22,pew_work_family_detailed_022,0.0
23,pew_work_family_detailed_023,0.0
24,pew_work_family_detailed_024,0.0
25,pew_work_family_detailed_025,0.0
26,pew_work_family_detailed_026,0.0
27,pew_work_family_detailed_027,0.0
28,pew_work_family_detailed_028,0.0
29,pew_work_family_detailed_029,0.0
30,pew_work_family_detailed_030,0.0
31,pew_work_family_detailed_031,0.0
32,pew_work_family_detailed_032,0.0
33,pew_work_family_detailed_033,0.0
34,pew_work_family_detailed_034,0.0
35,pew_work_family_detailed_035,0.0
36,pew_work_family_detailed_036,0.0
37,pew_work_family_detailed_037,0.0
38,pew_work_family_detailed_038,0.0
39,pew_work_family_detailed_039,0.0
40,pew_work_family_detailed_040,0.0
41,pew_work_family_detailed_041,0.0
42,pew_work_family_detailed_042,0.0
43,pew_work_family_detailed_043,0.0
44,pew_work_family_detailed_044,0.0
45,pew_work_family_detailed_045,0.0
46,pew_work_family_detailed_046,0.0
47,pew_work_family_detailed_047,0.0
48,pew_work_family_detailed_048,0.0
49,pew_work_family_detailed_049,0.0
50,pew_work_family_detailed_050,0.0
51,pew_work_family_detailed_051,0.0
52,pew_work_family_detailed_052,0.0
53,pew_work_family_detailed_053,0.0
54,pew_work_family_detailed_054,0.0
55,pew_work_family_detailed_055,0.0
56,pew_work_family_detailed_056,0.0
57,pew_work_family_detailed_057,0.0
58,pew_work_family_detailed_058,0.0
59,pew_work_family_detailed_059,0.0
60,pew_work_family_detailed_060,0.0
61,pew_work_family_detailed_061,0.0
62,pew_work_family_detailed_062,0.0
63,pew_work_family_detailed_063,0.0
64,pew_work_family_detailed_064,0.0
65,pew_work_family_detailed_065,0.1290596691514706
66,pew_work_family_detailed_066,0.0
67,pew_work_family_detailed_067,0.0
68,pew_work_family_detailed_068,0.0
69,pew_work_family_detailed_069,0.0
70,pew_work_family_detailed_070,0.0
71,pew_work_family_detailed_071,0.0
72,pew_work_family_detailed_072,0.0
73,pew_work_family_detailed_073,0.0
74,pew_work_family_detailed_074,0.0
75,pew_work_family_detailed_075,0.0
76,pew_work_family_detailed_076,0.0
77,pew_work_family_detailed_077,0.0
78,pew_work_family_detailed_078,0.0
79,pew_work_family_detailed_079,0.0
80,pew_work_family_detailed_080,0.0
81,pew_work_family_detailed_081,0.0
82,pew_work_family_detailed_082,0.0
83,pew_work_family_detailed_083,0.0
84,pew_work_family_detailed_084,0.0
85,pew_work_family_detailed_085,0.0
86,pew_work_family_detailed_086,0.0
87,pew_work_family_detailed_087,0.0
88,pew_work_family_detailed_088,0.0
89,pew_work_family_detailed_089,0.0
90,pew_work_family_detailed_090,0.0
91,pew_work_family_detailed_091,0.0
92,pew_work_family_detailed_092,0.0
93,pew_work_family_detailed_093,0.0
94,pew_work_family_detailed_094,0.0
95,pew_work_family_detailed_095,0.0
96,pew_work_family_detailed_096,0.0
97,pew_work_family_detailed_repair1_001,0.0
98,pew_work_family_detailed_repair1_002,0.0
99,pew_work_family_detailed_repair1_003,0.0
100,pew_work_family_detailed_repair1_004,0.014968905693123846
101,pew_work_family_detailed_repair1_005,0.0
102,pew_work_family_detailed_repair1_006,0.0
103,pew_work_family_detailed_repair1_007,0.0
104,pew_work_family_detailed_repair1_008,0.0
105,pew_work_family_detailed_repair1_009,0.09034965192247761
106,pew_work_family_detailed_repair1_010,0.0
107,pew_work_family_detailed_repair1_011,0.0
108,pew_work_family_detailed_repair1_012,0.0
109,pew_work_family_detailed_repair1_013,0.0
110,pew_work_family_detailed_repair1_014,0.0
111,pew_work_family_detailed_repair1_015,0.0
112,pew_work_family_detailed_repair1_016,0.0
113,pew_work_family_detailed_repair1_017,0.0
114,pew_work_family_detailed_repair1_018,0.0
115,pew_work_family_detailed_repair1_019,0.0
116,pew_work_family_detailed_repair1_020,0.0
117,pew_work_family_detailed_repair1_021,0.0
118,pew_work_family_detailed_repair1_022,0.0
119,pew_work_family_detailed_repair1_023,0.0
120,pew_work_family_detailed_repair1_024,0.0
121,pew_work_family_detailed_repair1_025,0.0
