target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3458699266367203, 0.65413007336328]",0.025879049162757434,0.025879049162757572
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.22662784416950899, 0.7733721558304911]",0.03592301650979486,0.03592301650979493
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.32819623156697186, 0.6718037684330285]",0.0405744153715864,0.04057441537158657
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.20509756280043168, 0.7949024371995681]",0.09551439536170735,0.09551439536170747
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5744905149091994, 0.42550948509080067]",0.001973659924847243,0.0019736599248473263
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.4776651574752634, 0.08754066958717872, 0.11642795904440291, 0.31836621389315534]",0.013188097608081695,0.01976129237773623
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6466540833979453, 0.09728833858928612, 0.16728112439203924, 0.08877645362072983]",0.01647040424639561,0.02667924993538806
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.29601636692602695, 0.28743506522470796, 0.19080465531783183, 0.2257439125314334]",0.003010421760897353,0.004256087468566594
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.15464406698718094, 0.16642234408028517, 0.26960284095561676, 0.40933074797691715]",0.008142852622013422,0.011310733653847604
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.09193472705211395, 0.17631419509765273, 0.3290805078879112, 0.40267056996232203]",0.028054445059269732,0.04091949211208873
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.0861727017268597, 0.46844305750970106, 0.2675646375555971, 0.17781960320784207]",0.018842686800638355,0.02822360915696559
