target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.32126028601498147, 0.6787397139850186]",0.0012694085410187017,0.0012694085410187572
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.1964403993693109, 0.8035596006306891]",0.0057355717095968345,0.005735571709596848
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.29052156907992654, 0.7094784309200735]",0.0028997528845412512,0.0028997528845412512
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.16393775080783346, 0.836062249192167]",0.0543545833691088,0.054354583369109005
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.572922948993784, 0.42707705100621596]",0.00040609400943189544,0.0004060940094319232
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.48408489648824804, 0.09267053064822371, 0.09936708629356936, 0.323877486569959]",0.00646044000270744,0.009337197314890383
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6678567505417388, 0.09011267369631704, 0.16737554325017356, 0.07465503251177108]",0.003263121497713647,0.005476582791594575
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.29467215787511203, 0.2869889793161351, 0.18873624388641919, 0.2296026189223337]",0.0014597099329149218,0.002069577219752511
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.1466945830015077, 0.1622230219713091, 0.27198753284495075, 0.41909486218223263]",0.0019468721116271265,0.0033612496681743598
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07408639991607369, 0.15364572221476475, 0.3628514873787061, 0.40941639049045553]",0.005741288064291283,0.0071485126212938455
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07241220111656327, 0.4898878646866422, 0.27176005007791937, 0.16593988411887528]",0.004696611799976328,0.0067788019800244514
