target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.32042179214152744, 0.6795782078584727]",0.00043091466756467467,0.0004309146675647302
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.19334975611928423, 0.8066502438807156]",0.0026449284595702477,0.002644928459570317
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.2884234559238008, 0.7115765440761994]",0.0008016397284154042,0.0008016397284155152
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.14156487846703403, 0.858435121532966]",0.03198171102830959,0.0319817110283096
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.572717775429912, 0.4272822245700879]",0.00020092044555988786,0.00020092044555991562
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.4870374002457717, 0.08835972547003929, 0.09781165585649526, 0.3267912184276941]",0.0033781982860427028,0.005026392136705957
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6708732308132787, 0.08889392889445526, 0.16729247833108168, 0.0729403619611845]",0.00144743840412328,0.0024601025200546855
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2958794777232904, 0.2872358904864948, 0.18687038631518255, 0.23001424547503257]",0.0004963332596109065,0.0007871889433763157
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.1446199717114055, 0.16303567715402567, 0.27279280811911677, 0.41955154301545217]",0.000747883462045028,0.0012866383780721635
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07187691281697325, 0.14956067065369225, 0.3671724773700388, 0.41138993915929595]",0.002432577128174109,0.0028940039870255507
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.06861143065492101, 0.49396417453005304, 0.273066027696681, 0.16435836711834478]",0.0017469771952053621,0.00270249213661361
