item,option_index,option_code,option_label,pew_marginal,umriss_fitted_mixture,meta_probability_mixture,meta_resolved_answers
hobbies,0,1,Men and women are basically similar,0.3199908774739627,0.320015615730323,0.3679495431421867,0.27457133213975904
hobbies,1,2,Men and women are basically different,0.6800091225260373,0.6799843842696771,0.6320504568578144,0.7254286678602411
physical_abilities,0,1,Men and women are basically similar,0.19070482765971405,0.190835183140255,0.22788321651671029,0.32352878331161855
physical_abilities,1,2,Men and women are basically different,0.8092951723402859,0.8091648168597451,0.7721167834832902,0.6764712166883821
parenting,0,1,Men and women are basically similar,0.2876218161953853,0.28766273602485,0.30297134546447063,0.26515176805773927
parenting,1,2,Men and women are basically different,0.7123781838046147,0.7123372639751501,0.6970286545355293,0.734848231942261
feelings,0,1,Men and women are basically similar,0.10958316743872445,0.1103214086606427,0.14187394806701814,0.1904918805072962
feelings,1,2,Men and women are basically different,0.8904168325612756,0.8896785913393573,0.8581260519329823,0.809508119492704
workplace,0,1,Men and women are basically similar,0.5725168549843521,0.5724633402620928,0.5611026597563569,0.5722859416004077
workplace,1,2,Men and women are basically different,0.4274831450156478,0.4275366597379072,0.43889734024364346,0.42771405839959253
