item,option_index,option_code,option_label,simulations,simulation_seed,mean,standard_deviation,q025,median,q975
hobbies,0,1,Men and women are basically similar,10000,20260725,0.3676373668643579,0.07092350208619008,0.2571666640348557,0.35916337895290595,0.5275952255741323
hobbies,1,2,Men and women are basically different,10000,20260725,0.632362633135642,0.07092350208619008,0.4724047744258677,0.6408366210470939,0.7428333359651442
physical_abilities,0,1,Men and women are basically similar,10000,20260725,0.22823033999177006,0.05906285385155484,0.15021786242208948,0.21397548385665183,0.36972798256464584
physical_abilities,1,2,Men and women are basically different,10000,20260725,0.77176966000823,0.05906285385155483,0.6302720174353541,0.7860245161433482,0.8497821375779107
parenting,0,1,Men and women are basically similar,10000,20260725,0.30343674920224656,0.07067267567353606,0.19649678297062448,0.29444654247715324,0.46258543262756885
parenting,1,2,Men and women are basically different,10000,20260725,0.6965632507977533,0.07067267567353606,0.537414567372431,0.7055534575228467,0.8035032170293753
feelings,0,1,Men and women are basically similar,10000,20260725,0.14310490566080097,0.0720566778750917,0.03867917445566537,0.1340318100945052,0.30671647739452945
feelings,1,2,Men and women are basically different,10000,20260725,0.8568950943391989,0.0720566778750917,0.6932835226054703,0.8659681899054946,0.9613208255443345
workplace,0,1,Men and women are basically similar,10000,20260725,0.5610561874162397,0.06713422569257708,0.414523643980512,0.5684579753619592,0.6832115069339015
workplace,1,2,Men and women are basically different,10000,20260725,0.43894381258376014,0.06713422569257707,0.31678849306609835,0.4315420246380407,0.5854763560194879
