item,option_index,option_code,option_label,pew_marginal,probability_mixture,ordinary_survey,ordinary_minus_pew,mixture_minus_pew
hobbies,0,1,Men and women are basically similar,0.3199908774739627,0.320015615730323,0.31709738327730147,-0.0028934941966612393,2.4738256360290478e-05
hobbies,1,2,Men and women are basically different,0.6800091225260373,0.6799843842696771,0.6829026167226986,0.002893494196661295,-2.4738256360179456e-05
physical_abilities,0,1,Men and women are basically similar,0.19070482765971405,0.190835183140255,0.1743200915114861,-0.01638473614822794,0.00013035548054093904
physical_abilities,1,2,Men and women are basically different,0.8092951723402859,0.8091648168597451,0.8256799084885138,0.016384736148227885,-0.00013035548054085577
parenting,0,1,Men and women are basically similar,0.2876218161953853,0.28766273602485,0.23264758024973,-0.054974235945655286,4.091982946469175e-05
parenting,1,2,Men and women are basically different,0.7123781838046147,0.7123372639751501,0.7673524197502699,0.0549742359456552,-4.091982946463624e-05
feelings,0,1,Men and women are basically similar,0.10958316743872445,0.1103214086606427,0.0061684372869969676,-0.10341473015172749,0.0007382412219182483
feelings,1,2,Men and women are basically different,0.8904168325612756,0.8896785913393573,0.993831562713003,0.10341473015172742,-0.0007382412219182344
workplace,0,1,Men and women are basically similar,0.5725168549843521,0.5724633402620928,0.5907723530066588,0.018255498022306638,-5.3514722259340175e-05
workplace,1,2,Men and women are basically different,0.4274831450156478,0.4275366597379072,0.4092276469933413,-0.018255498022306527,5.3514722259395686e-05
