tag,battery,holdout,item_text,method,rmse,kl_divergence,cross_entropy,target_entropy,prediction,truth,selected_rho,held_in_residual,effective_support,n_support_valid
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,generated support mixture,0.028835053905154923,0.0018552775365640248,0.6287178586148725,0.6268625810783085,"[0.348826, 0.651174]","[0.319991, 0.680009]",0.0003,0.0003899290618821989,23.008863940294315,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,unweighted support bank,0.1773648917568067,0.06439462319780032,0.6912572042761088,0.6268625810783085,"[0.497356, 0.502644]","[0.319991, 0.680009]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,uniform,0.1800091225260373,0.06628459948163687,0.6931471805599453,0.6268625810783085,"[0.5, 0.5]","[0.319991, 0.680009]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,unconditioned one-shot,0.020009122526037287,0.0009009615358731501,0.6277635426141815,0.6268625810783085,"[0.34, 0.66]","[0.319991, 0.680009]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,hobbies,Their hobbies and personal interests,structured two-step,0.03000912252603727,0.002007234502840443,0.628869815581149,0.6268625810783085,"[0.35, 0.65]","[0.319991, 0.680009]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,physical_abilities,Their physical abilities,generated support mixture,0.162850877087208,0.06410494968377997,0.5513483091720083,0.4872433594882283,"[0.353556, 0.646444]","[0.190705, 0.809295]",0.0003,0.00042829745725532427,28.558363067917192,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,physical_abilities,Their physical abilities,unweighted support bank,0.260833633878747,0.15047857604918816,0.6377219355374163,0.4872433594882283,"[0.451538, 0.548462]","[0.190705, 0.809295]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,physical_abilities,Their physical abilities,uniform,0.3092951723402859,0.20590382107171698,0.6931471805599452,0.4872433594882283,"[0.5, 0.5]","[0.190705, 0.809295]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,physical_abilities,Their physical abilities,unconditioned one-shot,0.03070482765971405,0.003342127225725227,0.4905854867139536,0.4872433594882283,"[0.16, 0.84]","[0.190705, 0.809295]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,physical_abilities,Their physical abilities,structured two-step,0.050704827659714055,0.00976409048651073,0.497007449974739,0.4872433594882283,"[0.14, 0.86]","[0.190705, 0.809295]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,parenting,Their approach to parenting,generated support mixture,0.05747030703225603,0.007526619411059983,0.6075351576026604,0.6000085381916004,"[0.345092, 0.654908]","[0.287622, 0.712378]",0.0003,0.00041363089100128855,24.231264226634625,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,parenting,Their approach to parenting,unweighted support bank,0.21853202995846113,0.09844242241898024,0.6984509606105807,0.6000085381916004,"[0.506154, 0.493846]","[0.287622, 0.712378]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,parenting,Their approach to parenting,uniform,0.2123781838046147,0.09313864236834488,0.6931471805599453,0.6000085381916004,"[0.5, 0.5]","[0.287622, 0.712378]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,parenting,Their approach to parenting,unconditioned one-shot,0.07237818380461469,0.011765844767686315,0.6117743829592868,0.6000085381916004,"[0.36, 0.64]","[0.287622, 0.712378]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,parenting,Their approach to parenting,structured two-step,0.12237818380461471,0.032308586713680004,0.6323171249052805,0.6000085381916004,"[0.41, 0.59]","[0.287622, 0.712378]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,feelings,How they express their feelings,generated support mixture,0.3123566706236724,0.23693281757036838,0.5825757771564537,0.3456429595860854,"[0.42194, 0.57806]","[0.109583, 0.890417]",0.0003,0.00015983157905736524,47.4100562572322,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,feelings,How they express their feelings,unweighted support bank,0.3553206787151214,0.29507499270684223,0.6407179522929276,0.3456429595860854,"[0.464904, 0.535096]","[0.109583, 0.890417]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,feelings,How they express their feelings,uniform,0.3904168325612756,0.3475042209738599,0.6931471805599453,0.3456429595860854,"[0.5, 0.5]","[0.109583, 0.890417]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,feelings,How they express their feelings,unconditioned one-shot,0.07041683256127558,0.018974139960465576,0.36461709954655097,0.3456429595860854,"[0.18, 0.82]","[0.109583, 0.890417]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,feelings,How they express their feelings,structured two-step,0.21041683256127552,0.12262022285629919,0.46826318244238463,0.3456429595860854,"[0.32, 0.68]","[0.109583, 0.890417]",,,,208
pew_w154_diff1_uniform_n208,Pew W154 DIFF1,workplace,The things they are good at in the workplace,generated support mixture,0.09470569896986669,0.017980725467758404,0.7005733319151107,0.6825926064473523,"[0.477811, 0.522189]","[0.572517, 0.427483]",0.0003,0.00037681931003345727,23.166272079990694,208
