job_id,support_id,status,code,message,item,raw_sum,min_probability,max_probability
pew_w154_diff1_uniform_n96_001,1,ok,,,hobbies,1.0,0.06,0.94
pew_w154_diff1_uniform_n96_001,1,ok,,,physical_abilities,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_001,1,ok,,,parenting,1.0,0.07,0.93
pew_w154_diff1_uniform_n96_001,1,ok,,,feelings,1.0,0.1,0.9
pew_w154_diff1_uniform_n96_001,1,ok,,,workplace,1.0,0.05,0.95
pew_w154_diff1_uniform_n96_002,2,ok,,,hobbies,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_002,2,ok,,,physical_abilities,1.0,0.3,0.7
pew_w154_diff1_uniform_n96_002,2,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_002,2,ok,,,feelings,1.0,0.24,0.76
pew_w154_diff1_uniform_n96_002,2,ok,,,workplace,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_003,3,ok,,,hobbies,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_003,3,ok,,,physical_abilities,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_003,3,ok,,,parenting,1.0,0.13,0.87
pew_w154_diff1_uniform_n96_003,3,ok,,,feelings,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_003,3,ok,,,workplace,1.0,0.11,0.89
pew_w154_diff1_uniform_n96_004,4,ok,,,hobbies,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_004,4,ok,,,physical_abilities,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_004,4,ok,,,parenting,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_004,4,ok,,,feelings,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_004,4,ok,,,workplace,1.0,0.2,0.8
pew_w154_diff1_uniform_n96_005,5,ok,,,hobbies,1.0,0.08,0.92
pew_w154_diff1_uniform_n96_005,5,ok,,,physical_abilities,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_005,5,ok,,,parenting,1.0,0.13,0.87
pew_w154_diff1_uniform_n96_005,5,ok,,,feelings,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_005,5,ok,,,workplace,1.0,0.07,0.93
pew_w154_diff1_uniform_n96_006,6,ok,,,hobbies,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_006,6,ok,,,physical_abilities,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_006,6,ok,,,parenting,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_006,6,ok,,,feelings,1.0,0.21,0.79
pew_w154_diff1_uniform_n96_006,6,ok,,,workplace,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_007,7,ok,,,hobbies,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_007,7,ok,,,physical_abilities,1.0,0.28,0.72
pew_w154_diff1_uniform_n96_007,7,ok,,,parenting,1.0,0.27,0.73
pew_w154_diff1_uniform_n96_007,7,ok,,,feelings,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_007,7,ok,,,workplace,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_008,8,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_008,8,ok,,,physical_abilities,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_008,8,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_008,8,ok,,,feelings,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_008,8,ok,,,workplace,1.0,0.2,0.8
pew_w154_diff1_uniform_n96_009,9,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_009,9,ok,,,physical_abilities,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_009,9,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_009,9,ok,,,feelings,1.0,0.26,0.74
pew_w154_diff1_uniform_n96_009,9,ok,,,workplace,1.0,0.13,0.87
pew_w154_diff1_uniform_n96_010,10,ok,,,hobbies,1.0,0.09,0.91
pew_w154_diff1_uniform_n96_010,10,ok,,,physical_abilities,1.0,0.08,0.92
pew_w154_diff1_uniform_n96_010,10,ok,,,parenting,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_010,10,ok,,,feelings,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_010,10,ok,,,workplace,1.0,0.13,0.87
pew_w154_diff1_uniform_n96_011,11,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_011,11,ok,,,physical_abilities,1.0,0.1,0.9
pew_w154_diff1_uniform_n96_011,11,ok,,,parenting,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_011,11,ok,,,feelings,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_011,11,ok,,,workplace,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_012,12,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_012,12,ok,,,physical_abilities,1.0,0.08,0.92
pew_w154_diff1_uniform_n96_012,12,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_012,12,ok,,,feelings,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_012,12,ok,,,workplace,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_013,13,ok,,,hobbies,1.0,0.16,0.84
pew_w154_diff1_uniform_n96_013,13,ok,,,physical_abilities,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_013,13,ok,,,parenting,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_013,13,ok,,,feelings,1.0,0.32,0.68
pew_w154_diff1_uniform_n96_013,13,ok,,,workplace,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_014,14,ok,,,hobbies,1.0,0.22,0.78
pew_w154_diff1_uniform_n96_014,14,ok,,,physical_abilities,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_014,14,ok,,,parenting,1.0,0.24,0.76
pew_w154_diff1_uniform_n96_014,14,ok,,,feelings,1.0,0.32,0.68
pew_w154_diff1_uniform_n96_014,14,ok,,,workplace,1.0,0.27,0.73
pew_w154_diff1_uniform_n96_015,15,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_015,15,ok,,,physical_abilities,1.0,0.08,0.92
pew_w154_diff1_uniform_n96_015,15,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_015,15,ok,,,feelings,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_015,15,ok,,,workplace,1.0,0.11,0.89
pew_w154_diff1_uniform_n96_016,16,ok,,,hobbies,1.0,0.14,0.86
pew_w154_diff1_uniform_n96_016,16,ok,,,physical_abilities,1.0,0.07,0.93
pew_w154_diff1_uniform_n96_016,16,ok,,,parenting,1.0,0.18,0.82
pew_w154_diff1_uniform_n96_016,16,ok,,,feelings,1.0,0.12,0.88
pew_w154_diff1_uniform_n96_016,16,ok,,,workplace,1.0,0.2,0.8
pew_w154_diff1_uniform_n96_017,17,ok,,,hobbies,1.0,0.08,0.92
pew_w154_diff1_uniform_n96_017,17,ok,,,physical_abilities,1.0,0.1,0.9
pew_w154_diff1_uniform_n96_017,17,ok,,,parenting,1.0,0.09,0.91
