item,option,covered,support_rows
hobbies,Men and women are basically similar,True,48
hobbies,Men and women are basically different,True,48
physical_abilities,Men and women are basically similar,True,48
physical_abilities,Men and women are basically different,True,48
parenting,Men and women are basically similar,True,48
parenting,Men and women are basically different,True,48
feelings,Men and women are basically similar,True,48
feelings,Men and women are basically different,True,48
workplace,Men and women are basically similar,True,48
workplace,Men and women are basically different,True,48
