job_id,support_id,status,code,message,item,raw_sum,min_probability,max_probability
pew_w154_diff1_uniform_repair_r2_161,1,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_161,1,ok,,,physical_abilities,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_161,1,ok,,,parenting,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_161,1,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_161,1,ok,,,workplace,1.0,0.37,0.63
pew_w154_diff1_uniform_repair_r2_162,2,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_162,2,ok,,,physical_abilities,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_162,2,ok,,,parenting,1.0,0.33,0.67
pew_w154_diff1_uniform_repair_r2_162,2,ok,,,feelings,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_162,2,ok,,,workplace,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_163,3,ok,,,hobbies,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_163,3,ok,,,physical_abilities,1.0,0.25,0.75
pew_w154_diff1_uniform_repair_r2_163,3,ok,,,parenting,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_163,3,ok,,,feelings,1.0,0.3,0.7
pew_w154_diff1_uniform_repair_r2_163,3,ok,,,workplace,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_164,4,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_164,4,ok,,,physical_abilities,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_164,4,ok,,,parenting,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_164,4,ok,,,feelings,1.0,0.33,0.67
pew_w154_diff1_uniform_repair_r2_164,4,ok,,,workplace,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_165,5,ok,,,hobbies,1.0,0.35,0.65
pew_w154_diff1_uniform_repair_r2_165,5,ok,,,physical_abilities,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_165,5,ok,,,parenting,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_165,5,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_165,5,ok,,,workplace,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_166,6,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_166,6,ok,,,physical_abilities,1.0,0.41,0.59
pew_w154_diff1_uniform_repair_r2_166,6,ok,,,parenting,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_166,6,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_166,6,ok,,,workplace,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_167,7,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_167,7,ok,,,physical_abilities,1.0,0.28,0.72
pew_w154_diff1_uniform_repair_r2_167,7,ok,,,parenting,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_167,7,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_167,7,ok,,,workplace,1.0,0.35,0.65
pew_w154_diff1_uniform_repair_r2_168,8,ok,,,hobbies,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_168,8,ok,,,physical_abilities,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_168,8,ok,,,parenting,1.0,0.35,0.65
pew_w154_diff1_uniform_repair_r2_168,8,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_168,8,ok,,,workplace,1.0,0.4,0.6
pew_w154_diff1_uniform_repair_r2_169,9,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_169,9,ok,,,physical_abilities,1.0,0.25,0.75
pew_w154_diff1_uniform_repair_r2_169,9,ok,,,parenting,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_169,9,ok,,,feelings,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_169,9,ok,,,workplace,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_170,10,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_170,10,ok,,,physical_abilities,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_170,10,ok,,,parenting,1.0,0.28,0.72
pew_w154_diff1_uniform_repair_r2_170,10,ok,,,feelings,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_170,10,ok,,,workplace,1.0,0.24,0.76
pew_w154_diff1_uniform_repair_r2_171,11,ok,,,hobbies,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_171,11,ok,,,physical_abilities,1.0,0.44,0.56
pew_w154_diff1_uniform_repair_r2_171,11,ok,,,parenting,1.0,0.4,0.6
pew_w154_diff1_uniform_repair_r2_171,11,ok,,,feelings,1.0,0.28,0.72
pew_w154_diff1_uniform_repair_r2_171,11,ok,,,workplace,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_172,12,ok,,,hobbies,1.0,0.37,0.63
pew_w154_diff1_uniform_repair_r2_172,12,ok,,,physical_abilities,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_172,12,ok,,,parenting,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_172,12,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_172,12,ok,,,workplace,1.0,0.31,0.69
pew_w154_diff1_uniform_repair_r2_173,13,ok,,,hobbies,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_173,13,ok,,,physical_abilities,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_173,13,ok,,,parenting,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_173,13,ok,,,feelings,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_173,13,ok,,,workplace,1.0,0.27,0.73
pew_w154_diff1_uniform_repair_r2_174,14,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_174,14,ok,,,physical_abilities,1.0,0.29,0.71
pew_w154_diff1_uniform_repair_r2_174,14,ok,,,parenting,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_174,14,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_174,14,ok,,,workplace,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_175,15,ok,,,hobbies,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_175,15,ok,,,physical_abilities,1.0,0.28,0.72
pew_w154_diff1_uniform_repair_r2_175,15,ok,,,parenting,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_175,15,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_175,15,ok,,,workplace,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_176,16,ok,,,hobbies,1.0,0.37,0.63
pew_w154_diff1_uniform_repair_r2_176,16,ok,,,physical_abilities,1.0,0.25,0.75
pew_w154_diff1_uniform_repair_r2_176,16,ok,,,parenting,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_176,16,ok,,,feelings,1.0,0.31,0.69
pew_w154_diff1_uniform_repair_r2_176,16,ok,,,workplace,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_177,17,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_177,17,ok,,,physical_abilities,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_177,17,ok,,,parenting,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_177,17,ok,,,feelings,1.0,0.31,0.69
pew_w154_diff1_uniform_repair_r2_177,17,ok,,,workplace,1.0,0.28,0.72
pew_w154_diff1_uniform_repair_r2_178,18,ok,,,hobbies,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_178,18,ok,,,physical_abilities,1.0,0.44,0.56
pew_w154_diff1_uniform_repair_r2_178,18,ok,,,parenting,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_178,18,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_178,18,ok,,,workplace,1.0,0.37,0.63
pew_w154_diff1_uniform_repair_r2_179,19,ok,,,hobbies,1.0,0.32,0.68
pew_w154_diff1_uniform_repair_r2_179,19,ok,,,physical_abilities,1.0,0.41,0.59
pew_w154_diff1_uniform_repair_r2_179,19,ok,,,parenting,1.0,0.36,0.64
pew_w154_diff1_uniform_repair_r2_179,19,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_179,19,ok,,,workplace,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_180,20,ok,,,hobbies,1.0,0.35,0.65
pew_w154_diff1_uniform_repair_r2_180,20,ok,,,physical_abilities,1.0,0.27,0.73
pew_w154_diff1_uniform_repair_r2_180,20,ok,,,parenting,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_180,20,ok,,,feelings,1.0,0.42,0.58
pew_w154_diff1_uniform_repair_r2_180,20,ok,,,workplace,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_181,21,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_181,21,ok,,,physical_abilities,1.0,0.24,0.76
pew_w154_diff1_uniform_repair_r2_181,21,ok,,,parenting,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_181,21,ok,,,feelings,1.0,0.43,0.57
pew_w154_diff1_uniform_repair_r2_181,21,ok,,,workplace,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_182,22,ok,,,hobbies,1.0,0.34,0.66
pew_w154_diff1_uniform_repair_r2_182,22,ok,,,physical_abilities,1.0,0.25,0.75
pew_w154_diff1_uniform_repair_r2_182,22,ok,,,parenting,1.0,0.38,0.62
pew_w154_diff1_uniform_repair_r2_182,22,ok,,,feelings,1.0,0.39,0.61
pew_w154_diff1_uniform_repair_r2_182,22,ok,,,workplace,1.0,0.32,0.68
