support_id,job_id,item,option_index,option_code,option_label,probability
1,teen_social_big_support_aug1_065,social_media_hours,0,1,Less than one hour,0.06
1,teen_social_big_support_aug1_065,social_media_hours,1,2,One to three hours,0.29
1,teen_social_big_support_aug1_065,social_media_hours,2,3,Four or more hours,0.65
1,teen_social_big_support_aug1_065,posting_frequency,0,1,Never or almost never,0.08
1,teen_social_big_support_aug1_065,posting_frequency,1,2,Less than once a week,0.12
1,teen_social_big_support_aug1_065,posting_frequency,2,3,A few times a week,0.26
1,teen_social_big_support_aug1_065,posting_frequency,3,4,At least once a day,0.54
1,teen_social_big_support_aug1_065,late_night_use,0,1,Never,0.05
1,teen_social_big_support_aug1_065,late_night_use,1,2,Rarely,0.12
1,teen_social_big_support_aug1_065,late_night_use,2,3,Sometimes,0.3
1,teen_social_big_support_aug1_065,late_night_use,3,4,Often,0.53
1,teen_social_big_support_aug1_065,sleep_interference,0,1,Never,0.48
1,teen_social_big_support_aug1_065,sleep_interference,1,2,Rarely,0.25
1,teen_social_big_support_aug1_065,sleep_interference,2,3,Sometimes,0.18
1,teen_social_big_support_aug1_065,sleep_interference,3,4,Often,0.09
1,teen_social_big_support_aug1_065,social_comparison,0,1,Never,0.12
1,teen_social_big_support_aug1_065,social_comparison,1,2,Rarely,0.24
1,teen_social_big_support_aug1_065,social_comparison,2,3,Sometimes,0.43
1,teen_social_big_support_aug1_065,social_comparison,3,4,Often,0.21
1,teen_social_big_support_aug1_065,connection_effect,0,1,Makes me feel less connected,0.46
1,teen_social_big_support_aug1_065,connection_effect,1,2,Makes little difference,0.31
1,teen_social_big_support_aug1_065,connection_effect,2,3,Makes me feel more connected,0.23
1,teen_social_big_support_aug1_065,parental_rules,0,1,No rules,0.04
1,teen_social_big_support_aug1_065,parental_rules,1,2,A few loose rules,0.1
1,teen_social_big_support_aug1_065,parental_rules,2,3,Some clear rules,0.28
1,teen_social_big_support_aug1_065,parental_rules,3,4,Very strict rules,0.58
1,teen_social_big_support_aug1_065,primary_platform,0,1,TikTok,0.16
1,teen_social_big_support_aug1_065,primary_platform,1,2,Instagram,0.13
1,teen_social_big_support_aug1_065,primary_platform,2,3,YouTube,0.46
1,teen_social_big_support_aug1_065,primary_platform,3,4,Snapchat,0.12
1,teen_social_big_support_aug1_065,primary_platform,4,5,Another platform,0.11
1,teen_social_big_support_aug1_065,primary_platform,5,6,I do not use social media,0.02
2,teen_social_big_support_aug1_066,social_media_hours,0,1,Less than one hour,0.24
2,teen_social_big_support_aug1_066,social_media_hours,1,2,One to three hours,0.62
2,teen_social_big_support_aug1_066,social_media_hours,2,3,Four or more hours,0.14
2,teen_social_big_support_aug1_066,posting_frequency,0,1,Never or almost never,0.24
2,teen_social_big_support_aug1_066,posting_frequency,1,2,Less than once a week,0.46
2,teen_social_big_support_aug1_066,posting_frequency,2,3,A few times a week,0.21
2,teen_social_big_support_aug1_066,posting_frequency,3,4,At least once a day,0.09
2,teen_social_big_support_aug1_066,late_night_use,0,1,Never,0.16
2,teen_social_big_support_aug1_066,late_night_use,1,2,Rarely,0.28
2,teen_social_big_support_aug1_066,late_night_use,2,3,Sometimes,0.43
2,teen_social_big_support_aug1_066,late_night_use,3,4,Often,0.13
2,teen_social_big_support_aug1_066,sleep_interference,0,1,Never,0.57
2,teen_social_big_support_aug1_066,sleep_interference,1,2,Rarely,0.28
2,teen_social_big_support_aug1_066,sleep_interference,2,3,Sometimes,0.11
2,teen_social_big_support_aug1_066,sleep_interference,3,4,Often,0.04
2,teen_social_big_support_aug1_066,social_comparison,0,1,Never,0.62
2,teen_social_big_support_aug1_066,social_comparison,1,2,Rarely,0.24
2,teen_social_big_support_aug1_066,social_comparison,2,3,Sometimes,0.1
2,teen_social_big_support_aug1_066,social_comparison,3,4,Often,0.04
2,teen_social_big_support_aug1_066,connection_effect,0,1,Makes me feel less connected,0.07
2,teen_social_big_support_aug1_066,connection_effect,1,2,Makes little difference,0.32
2,teen_social_big_support_aug1_066,connection_effect,2,3,Makes me feel more connected,0.61
2,teen_social_big_support_aug1_066,parental_rules,0,1,No rules,0.03
2,teen_social_big_support_aug1_066,parental_rules,1,2,A few loose rules,0.1
2,teen_social_big_support_aug1_066,parental_rules,2,3,Some clear rules,0.27
2,teen_social_big_support_aug1_066,parental_rules,3,4,Very strict rules,0.6
2,teen_social_big_support_aug1_066,primary_platform,0,1,TikTok,0.18
2,teen_social_big_support_aug1_066,primary_platform,1,2,Instagram,0.47
2,teen_social_big_support_aug1_066,primary_platform,2,3,YouTube,0.13
2,teen_social_big_support_aug1_066,primary_platform,3,4,Snapchat,0.16
2,teen_social_big_support_aug1_066,primary_platform,4,5,Another platform,0.04
2,teen_social_big_support_aug1_066,primary_platform,5,6,I do not use social media,0.02
3,teen_social_big_support_aug1_067,social_media_hours,0,1,Less than one hour,0.62
3,teen_social_big_support_aug1_067,social_media_hours,1,2,One to three hours,0.31
3,teen_social_big_support_aug1_067,social_media_hours,2,3,Four or more hours,0.07
3,teen_social_big_support_aug1_067,posting_frequency,0,1,Never or almost never,0.32
3,teen_social_big_support_aug1_067,posting_frequency,1,2,Less than once a week,0.46
3,teen_social_big_support_aug1_067,posting_frequency,2,3,A few times a week,0.16
3,teen_social_big_support_aug1_067,posting_frequency,3,4,At least once a day,0.06
3,teen_social_big_support_aug1_067,late_night_use,0,1,Never,0.58
3,teen_social_big_support_aug1_067,late_night_use,1,2,Rarely,0.24
3,teen_social_big_support_aug1_067,late_night_use,2,3,Sometimes,0.13
3,teen_social_big_support_aug1_067,late_night_use,3,4,Often,0.05
3,teen_social_big_support_aug1_067,sleep_interference,0,1,Never,0.12
3,teen_social_big_support_aug1_067,sleep_interference,1,2,Rarely,0.18
3,teen_social_big_support_aug1_067,sleep_interference,2,3,Sometimes,0.3
3,teen_social_big_support_aug1_067,sleep_interference,3,4,Often,0.4
3,teen_social_big_support_aug1_067,social_comparison,0,1,Never,0.08
3,teen_social_big_support_aug1_067,social_comparison,1,2,Rarely,0.17
3,teen_social_big_support_aug1_067,social_comparison,2,3,Sometimes,0.31
3,teen_social_big_support_aug1_067,social_comparison,3,4,Often,0.44
