target_id,item,option_index,option_label,target,support_minimum,support_maximum,outside_cell_range
marginal:posting_frequency,posting_frequency,0,Never or almost never,0.20333333333333334,0.02,0.82,False
marginal:posting_frequency,posting_frequency,1,Less than once a week,0.26,0.05,0.55,False
marginal:posting_frequency,posting_frequency,2,A few times a week,0.32,0.05,0.58,False
marginal:posting_frequency,posting_frequency,3,At least once a day,0.21666666666666667,0.03,0.75,False
marginal:sleep_interference,sleep_interference,0,Never,0.09000000000000001,0.03,0.84,False
marginal:sleep_interference,sleep_interference,1,Rarely,0.20999999999999996,0.1,0.55,False
marginal:sleep_interference,sleep_interference,2,Sometimes,0.41,0.04,0.49,False
marginal:sleep_interference,sleep_interference,3,Often,0.29000000000000004,0.02,0.6,False
marginal:social_comparison,social_comparison,0,Never,0.15,0.03,0.72,False
marginal:social_comparison,social_comparison,1,Rarely,0.29,0.09,0.56,False
marginal:social_comparison,social_comparison,2,Sometimes,0.39666666666666667,0.07,0.5,False
marginal:social_comparison,social_comparison,3,Often,0.16333333333333333,0.02,0.6,False
marginal:school_effort,school_effort,0,Never,0.03,0.02,0.55,False
marginal:school_effort,school_effort,1,Rarely,0.09999999999999999,0.06,0.48,False
marginal:school_effort,school_effort,2,Sometimes,0.36333333333333334,0.14,0.52,False
marginal:school_effort,school_effort,3,Often,0.5066666666666667,0.05,0.7,False
marginal:academic_confidence,academic_confidence,0,Not at all confident,0.03333333333333333,0.02,0.6,False
marginal:academic_confidence,academic_confidence,1,A little confident,0.09999999999999999,0.05,0.5,False
marginal:academic_confidence,academic_confidence,2,Somewhat confident,0.3433333333333333,0.1,0.56,False
marginal:academic_confidence,academic_confidence,3,Very confident,0.5233333333333333,0.03,0.74,False
marginal:career_clarity,career_clarity,0,No clear idea,0.15000000000000002,0.03,0.65,False
marginal:career_clarity,career_clarity,1,A few vague ideas,0.37666666666666665,0.08,0.5,False
marginal:career_clarity,career_clarity,2,A fairly clear idea,0.33,0.09,0.59,False
marginal:career_clarity,career_clarity,3,A very clear plan,0.14333333333333334,0.04,0.65,False
marginal:peer_belonging,peer_belonging,0,Never,0.06333333333333334,0.03,0.62,False
marginal:peer_belonging,peer_belonging,1,Rarely,0.16333333333333333,0.07,0.49,False
marginal:peer_belonging,peer_belonging,2,Sometimes,0.4166666666666667,0.1,0.5,False
marginal:peer_belonging,peer_belonging,3,Often,0.3566666666666667,0.04,0.7,False
