support_id,job_id,target_id,cell_index,probability,feature_method
1,teen_social_001,joint:posting_frequency:social_comparison,0,0.18,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,1,0.22,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,2,0.07,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,3,0.01,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,4,0.09,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,5,0.15,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,6,0.07,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,7,0.01,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,8,0.03,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,9,0.06,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,10,0.055,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,11,0.015,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,12,0.005,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,13,0.01,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,14,0.015,direct_joint
1,teen_social_001,joint:posting_frequency:social_comparison,15,0.01,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,0,0.04,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,1,0.055,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,2,0.022,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,3,0.003,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,4,0.075,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,5,0.14,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,6,0.077,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,7,0.008,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,8,0.075,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,9,0.165,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,10,0.115,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,11,0.025,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,12,0.03,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,13,0.08,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,14,0.076,direct_joint
2,teen_social_002,joint:posting_frequency:social_comparison,15,0.014,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,0,0.02,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,1,0.03,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,2,0.02,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,3,0.01,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,4,0.025,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,5,0.065,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,6,0.06,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,7,0.02,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,8,0.04,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,9,0.13,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,10,0.19,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,11,0.07,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,12,0.015,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,13,0.075,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,14,0.16,direct_joint
3,teen_social_003,joint:posting_frequency:social_comparison,15,0.07,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,0,0.3,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,1,0.18,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,2,0.035,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,3,0.005,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,4,0.12,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,5,0.13,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,6,0.045,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,7,0.005,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,8,0.035,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,9,0.05,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,10,0.035,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,11,0.01,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,12,0.01,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,13,0.015,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,14,0.015,direct_joint
4,teen_social_004,joint:posting_frequency:social_comparison,15,0.01,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,0,0.015,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,1,0.015,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,2,0.008,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,3,0.002,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,4,0.03,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,5,0.05,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,6,0.03,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,7,0.01,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,8,0.07,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,9,0.155,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,10,0.15,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,11,0.045,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,12,0.035,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,13,0.13,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,14,0.162,direct_joint
5,teen_social_005,joint:posting_frequency:social_comparison,15,0.093,direct_joint
