support_id,job_id,item,option_index,option_code,option_label,probability
1,teen_social_life_support_001,social_media_hours,0,1,Less than one hour,0.58
1,teen_social_life_support_001,social_media_hours,1,2,One to three hours,0.32
1,teen_social_life_support_001,social_media_hours,2,3,Four or more hours,0.1
1,teen_social_life_support_001,posting_frequency,0,1,Never or almost never,0.34
1,teen_social_life_support_001,posting_frequency,1,2,Less than once a week,0.33
1,teen_social_life_support_001,posting_frequency,2,3,A few times a week,0.23
1,teen_social_life_support_001,posting_frequency,3,4,At least once a day,0.1
1,teen_social_life_support_001,late_night_use,0,1,Never,0.32
1,teen_social_life_support_001,late_night_use,1,2,Rarely,0.4
1,teen_social_life_support_001,late_night_use,2,3,Sometimes,0.2
1,teen_social_life_support_001,late_night_use,3,4,Often,0.08
1,teen_social_life_support_001,sleep_interference,0,1,Never,0.43
1,teen_social_life_support_001,sleep_interference,1,2,Rarely,0.36
1,teen_social_life_support_001,sleep_interference,2,3,Sometimes,0.16
1,teen_social_life_support_001,sleep_interference,3,4,Often,0.05
1,teen_social_life_support_001,social_comparison,0,1,Never,0.25
1,teen_social_life_support_001,social_comparison,1,2,Rarely,0.4
1,teen_social_life_support_001,social_comparison,2,3,Sometimes,0.25
1,teen_social_life_support_001,social_comparison,3,4,Often,0.1
1,teen_social_life_support_001,connection_effect,0,1,Makes me feel less connected,0.12
1,teen_social_life_support_001,connection_effect,1,2,Makes little difference,0.5
1,teen_social_life_support_001,connection_effect,2,3,Makes me feel more connected,0.38
1,teen_social_life_support_001,parental_rules,0,1,No rules,0.1
1,teen_social_life_support_001,parental_rules,1,2,A few loose rules,0.31
1,teen_social_life_support_001,parental_rules,2,3,Some clear rules,0.42
1,teen_social_life_support_001,parental_rules,3,4,Very strict rules,0.17
1,teen_social_life_support_001,primary_platform,0,1,TikTok,0.18
1,teen_social_life_support_001,primary_platform,1,2,Instagram,0.22
1,teen_social_life_support_001,primary_platform,2,3,YouTube,0.28
1,teen_social_life_support_001,primary_platform,3,4,Snapchat,0.17
1,teen_social_life_support_001,primary_platform,4,5,Another platform,0.08
1,teen_social_life_support_001,primary_platform,5,6,I do not use social media,0.07
1,teen_social_life_support_001,school_effort,0,1,Never,0.02
1,teen_social_life_support_001,school_effort,1,2,Rarely,0.08
1,teen_social_life_support_001,school_effort,2,3,Sometimes,0.32
1,teen_social_life_support_001,school_effort,3,4,Often,0.58
1,teen_social_life_support_001,academic_confidence,0,1,Not at all confident,0.03
