item,item_text,n_support,equal_weight_marginal,uniform_target,max_absolute_deviation,tolerance,passes,unique_probability_vectors,duplicate_probability_vectors,duplicate_fraction,joint_argmax_patterns,possible_joint_patterns,joint_pattern_fraction,matrix_rank,effective_rank,independent_moment_dimension,max_duplicate_fraction,min_joint_pattern_fraction,diversity_passes,preflight_passes
social_media_hours,Daily time on social media,512,"[0.1671679687499999, 0.5028906250000011, 0.3299414062500003]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.16955729166666783,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
posting_frequency,Posting or sharing frequency,512,"[0.2109570312500005, 0.2632031249999997, 0.3315039062500001, 0.19433593750000008]","[0.25, 0.25, 0.25, 0.25]",0.08150390625000009,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
late_night_use,Social-media use after intended bedtime,512,"[0.1456640624999998, 0.25376953125, 0.3651953124999998, 0.23537109374999982]","[0.25, 0.25, 0.25, 0.25]",0.11519531249999981,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
sleep_interference,Social-media interference with sleep,512,"[0.2056445312500002, 0.3064453125000002, 0.3299023437499995, 0.15800781249999998]","[0.25, 0.25, 0.25, 0.25]",0.09199218750000002,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
social_comparison,Negative social comparison,512,"[0.15966796874999972, 0.29833984375, 0.3709179687500002, 0.17107421875000003]","[0.25, 0.25, 0.25, 0.25]",0.12091796875000022,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
connection_effect,Effect on connection to friends,512,"[0.13914062499999974, 0.36435546875000024, 0.4965039062500002]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.19419270833333357,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
parental_rules,Strictness of parental social-media rules,512,"[0.1394921874999998, 0.3562304687499998, 0.35195312500000003, 0.15232421874999996]","[0.25, 0.25, 0.25, 0.25]",0.11050781250000019,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
primary_platform,Primary social-media platform,512,"[0.27227734374999996, 0.22163281249999986, 0.16811718749999993, 0.22135937499999994, 0.0774335937499998, 0.039179687499999935]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0.12748697916666674,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
school_effort,Persistence and effort in schoolwork,512,"[0.031132812499999742, 0.10263671874999984, 0.3170507812500001, 0.5491796875000001]","[0.25, 0.25, 0.25, 0.25]",0.2991796875000001,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
academic_confidence,Confidence in ability to succeed academically,512,"[0.05216796874999998, 0.15761718749999995, 0.4379492187499991, 0.352265625]","[0.25, 0.25, 0.25, 0.25]",0.19783203125,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
homework_distraction,Social-media interference with homework,512,"[0.1727539062499998, 0.2953710937500004, 0.35750000000000004, 0.1743750000000002]","[0.25, 0.25, 0.25, 0.25]",0.10750000000000004,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
organized_activity,Participation in organized physical activity,512,"[0.1928906250000004, 0.17130859375000035, 0.2663476562500003, 0.36945312500000027]","[0.25, 0.25, 0.25, 0.25]",0.11945312500000027,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
career_clarity,Clarity about a future career,512,"[0.17244140625000023, 0.3534570312499999, 0.3183789062500002, 0.15572265625000006]","[0.25, 0.25, 0.25, 0.25]",0.10345703124999989,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
future_optimism,Optimism about personal future,512,"[0.05871093749999989, 0.17300781250000025, 0.44800781249999894, 0.32027343750000054]","[0.25, 0.25, 0.25, 0.25]",0.19800781249999894,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
peer_belonging,Sense of belonging among peers,512,"[0.05582031249999988, 0.1587500000000001, 0.36888671874999995, 0.41654296874999963]","[0.25, 0.25, 0.25, 0.25]",0.19417968750000011,0.05,False,512,0,0.0,278,905969664,0.54296875,45,10.984573979017274,45,0.05,0.75,False,False
