support_id,job_id,design_type,reason,coverage_item,coverage_option,intensity,coherence,pattern,profile
1,teen_social_life_support_001,option_coverage,cover social_media_hours = Less than one hour,social_media_hours,Less than one hour,moderate,item_specific,{},
2,teen_social_life_support_002,option_coverage,cover social_media_hours = One to three hours,social_media_hours,One to three hours,strong,item_specific,{},
3,teen_social_life_support_003,option_coverage,cover social_media_hours = Four or more hours,social_media_hours,Four or more hours,moderate,item_specific,{},
4,teen_social_life_support_004,option_coverage,cover posting_frequency = Never or almost never,posting_frequency,Never or almost never,strong,item_specific,{},
5,teen_social_life_support_005,option_coverage,cover posting_frequency = Less than once a week,posting_frequency,Less than once a week,moderate,item_specific,{},
6,teen_social_life_support_006,option_coverage,cover posting_frequency = A few times a week,posting_frequency,A few times a week,strong,item_specific,{},
7,teen_social_life_support_007,option_coverage,cover posting_frequency = At least once a day,posting_frequency,At least once a day,moderate,item_specific,{},
8,teen_social_life_support_008,option_coverage,cover late_night_use = Never,late_night_use,Never,strong,item_specific,{},
9,teen_social_life_support_009,option_coverage,cover late_night_use = Rarely,late_night_use,Rarely,moderate,item_specific,{},
10,teen_social_life_support_010,option_coverage,cover late_night_use = Sometimes,late_night_use,Sometimes,strong,item_specific,{},
11,teen_social_life_support_011,option_coverage,cover late_night_use = Often,late_night_use,Often,moderate,item_specific,{},
12,teen_social_life_support_012,option_coverage,cover sleep_interference = Never,sleep_interference,Never,strong,item_specific,{},
13,teen_social_life_support_013,option_coverage,cover sleep_interference = Rarely,sleep_interference,Rarely,moderate,item_specific,{},
14,teen_social_life_support_014,option_coverage,cover sleep_interference = Sometimes,sleep_interference,Sometimes,strong,item_specific,{},
15,teen_social_life_support_015,option_coverage,cover sleep_interference = Often,sleep_interference,Often,moderate,item_specific,{},
16,teen_social_life_support_016,option_coverage,cover social_comparison = Never,social_comparison,Never,strong,item_specific,{},
17,teen_social_life_support_017,option_coverage,cover social_comparison = Rarely,social_comparison,Rarely,moderate,item_specific,{},
18,teen_social_life_support_018,option_coverage,cover social_comparison = Sometimes,social_comparison,Sometimes,strong,item_specific,{},
19,teen_social_life_support_019,option_coverage,cover social_comparison = Often,social_comparison,Often,moderate,item_specific,{},
20,teen_social_life_support_020,option_coverage,cover connection_effect = Makes me feel less connected,connection_effect,Makes me feel less connected,strong,item_specific,{},
21,teen_social_life_support_021,option_coverage,cover connection_effect = Makes little difference,connection_effect,Makes little difference,moderate,item_specific,{},
22,teen_social_life_support_022,option_coverage,cover connection_effect = Makes me feel more connected,connection_effect,Makes me feel more connected,strong,item_specific,{},
23,teen_social_life_support_023,option_coverage,cover parental_rules = No rules,parental_rules,No rules,moderate,item_specific,{},
24,teen_social_life_support_024,option_coverage,cover parental_rules = A few loose rules,parental_rules,A few loose rules,strong,item_specific,{},
25,teen_social_life_support_025,option_coverage,cover parental_rules = Some clear rules,parental_rules,Some clear rules,moderate,item_specific,{},
26,teen_social_life_support_026,option_coverage,cover parental_rules = Very strict rules,parental_rules,Very strict rules,strong,item_specific,{},
27,teen_social_life_support_027,option_coverage,cover primary_platform = TikTok,primary_platform,TikTok,moderate,item_specific,{},
28,teen_social_life_support_028,option_coverage,cover primary_platform = Instagram,primary_platform,Instagram,strong,item_specific,{},
29,teen_social_life_support_029,option_coverage,cover primary_platform = YouTube,primary_platform,YouTube,moderate,item_specific,{},
30,teen_social_life_support_030,option_coverage,cover primary_platform = Snapchat,primary_platform,Snapchat,strong,item_specific,{},
31,teen_social_life_support_031,option_coverage,cover primary_platform = Another platform,primary_platform,Another platform,moderate,item_specific,{},
32,teen_social_life_support_032,option_coverage,cover primary_platform = I do not use social media,primary_platform,I do not use social media,strong,item_specific,{},
33,teen_social_life_support_033,option_coverage,cover school_effort = Never,school_effort,Never,moderate,item_specific,{},
34,teen_social_life_support_034,option_coverage,cover school_effort = Rarely,school_effort,Rarely,strong,item_specific,{},
35,teen_social_life_support_035,option_coverage,cover school_effort = Sometimes,school_effort,Sometimes,moderate,item_specific,{},
36,teen_social_life_support_036,option_coverage,cover school_effort = Often,school_effort,Often,strong,item_specific,{},
37,teen_social_life_support_037,option_coverage,cover academic_confidence = Not at all confident,academic_confidence,Not at all confident,moderate,item_specific,{},
38,teen_social_life_support_038,option_coverage,cover academic_confidence = A little confident,academic_confidence,A little confident,strong,item_specific,{},
39,teen_social_life_support_039,option_coverage,cover academic_confidence = Somewhat confident,academic_confidence,Somewhat confident,moderate,item_specific,{},
40,teen_social_life_support_040,option_coverage,cover academic_confidence = Very confident,academic_confidence,Very confident,strong,item_specific,{},
41,teen_social_life_support_041,option_coverage,cover homework_distraction = Never,homework_distraction,Never,moderate,item_specific,{},
42,teen_social_life_support_042,option_coverage,cover homework_distraction = Rarely,homework_distraction,Rarely,strong,item_specific,{},
43,teen_social_life_support_043,option_coverage,cover homework_distraction = Sometimes,homework_distraction,Sometimes,moderate,item_specific,{},
44,teen_social_life_support_044,option_coverage,cover homework_distraction = Often,homework_distraction,Often,strong,item_specific,{},
45,teen_social_life_support_045,option_coverage,cover organized_activity = Never,organized_activity,Never,moderate,item_specific,{},
46,teen_social_life_support_046,option_coverage,cover organized_activity = Less than once a week,organized_activity,Less than once a week,strong,item_specific,{},
47,teen_social_life_support_047,option_coverage,cover organized_activity = One or two days a week,organized_activity,One or two days a week,moderate,item_specific,{},
48,teen_social_life_support_048,option_coverage,cover organized_activity = Three or more days a week,organized_activity,Three or more days a week,strong,item_specific,{},
49,teen_social_life_support_049,option_coverage,cover career_clarity = No clear idea,career_clarity,No clear idea,moderate,item_specific,{},
50,teen_social_life_support_050,option_coverage,cover career_clarity = A few vague ideas,career_clarity,A few vague ideas,strong,item_specific,{},
51,teen_social_life_support_051,option_coverage,cover career_clarity = A fairly clear idea,career_clarity,A fairly clear idea,moderate,item_specific,{},
52,teen_social_life_support_052,option_coverage,cover career_clarity = A very clear plan,career_clarity,A very clear plan,strong,item_specific,{},
53,teen_social_life_support_053,option_coverage,cover future_optimism = Not at all optimistic,future_optimism,Not at all optimistic,moderate,item_specific,{},
54,teen_social_life_support_054,option_coverage,cover future_optimism = A little optimistic,future_optimism,A little optimistic,strong,item_specific,{},
55,teen_social_life_support_055,option_coverage,cover future_optimism = Somewhat optimistic,future_optimism,Somewhat optimistic,moderate,item_specific,{},
56,teen_social_life_support_056,option_coverage,cover future_optimism = Very optimistic,future_optimism,Very optimistic,strong,item_specific,{},
57,teen_social_life_support_057,option_coverage,cover peer_belonging = Never,peer_belonging,Never,moderate,item_specific,{},
58,teen_social_life_support_058,option_coverage,cover peer_belonging = Rarely,peer_belonging,Rarely,strong,item_specific,{},
59,teen_social_life_support_059,option_coverage,cover peer_belonging = Sometimes,peer_belonging,Sometimes,moderate,item_specific,{},
60,teen_social_life_support_060,option_coverage,cover peer_belonging = Often,peer_belonging,Often,strong,item_specific,{},
61,teen_social_life_support_061,option_coverage,additional coverage for social_media_hours = Less than one hour,social_media_hours,Less than one hour,moderate,item_specific,{},
62,teen_social_life_support_062,option_coverage,additional coverage for social_media_hours = One to three hours,social_media_hours,One to three hours,strong,item_specific,{},
63,teen_social_life_support_063,option_coverage,additional coverage for social_media_hours = Four or more hours,social_media_hours,Four or more hours,moderate,item_specific,{},
64,teen_social_life_support_064,option_coverage,additional coverage for posting_frequency = Never or almost never,posting_frequency,Never or almost never,strong,item_specific,{},
65,teen_social_life_support_065,option_coverage,additional coverage for posting_frequency = Less than once a week,posting_frequency,Less than once a week,moderate,item_specific,{},
66,teen_social_life_support_066,option_coverage,additional coverage for posting_frequency = A few times a week,posting_frequency,A few times a week,strong,item_specific,{},
67,teen_social_life_support_067,option_coverage,additional coverage for posting_frequency = At least once a day,posting_frequency,At least once a day,moderate,item_specific,{},
68,teen_social_life_support_068,option_coverage,additional coverage for late_night_use = Never,late_night_use,Never,strong,item_specific,{},
69,teen_social_life_support_069,option_coverage,additional coverage for late_night_use = Rarely,late_night_use,Rarely,moderate,item_specific,{},
70,teen_social_life_support_070,option_coverage,additional coverage for late_night_use = Sometimes,late_night_use,Sometimes,strong,item_specific,{},
71,teen_social_life_support_071,option_coverage,additional coverage for late_night_use = Often,late_night_use,Often,moderate,item_specific,{},
72,teen_social_life_support_072,option_coverage,additional coverage for sleep_interference = Never,sleep_interference,Never,strong,item_specific,{},
73,teen_social_life_support_073,option_coverage,additional coverage for sleep_interference = Rarely,sleep_interference,Rarely,moderate,item_specific,{},
74,teen_social_life_support_074,option_coverage,additional coverage for sleep_interference = Sometimes,sleep_interference,Sometimes,strong,item_specific,{},
75,teen_social_life_support_075,option_coverage,additional coverage for sleep_interference = Often,sleep_interference,Often,moderate,item_specific,{},
76,teen_social_life_support_076,option_coverage,additional coverage for social_comparison = Never,social_comparison,Never,strong,item_specific,{},
77,teen_social_life_support_077,option_coverage,additional coverage for social_comparison = Rarely,social_comparison,Rarely,moderate,item_specific,{},
78,teen_social_life_support_078,option_coverage,additional coverage for social_comparison = Sometimes,social_comparison,Sometimes,strong,item_specific,{},
79,teen_social_life_support_079,option_coverage,additional coverage for social_comparison = Often,social_comparison,Often,moderate,item_specific,{},
80,teen_social_life_support_080,option_coverage,additional coverage for connection_effect = Makes me feel less connected,connection_effect,Makes me feel less connected,strong,item_specific,{},
81,teen_social_life_support_081,option_coverage,additional coverage for connection_effect = Makes little difference,connection_effect,Makes little difference,moderate,item_specific,{},
82,teen_social_life_support_082,option_coverage,additional coverage for connection_effect = Makes me feel more connected,connection_effect,Makes me feel more connected,strong,item_specific,{},
83,teen_social_life_support_083,option_coverage,additional coverage for parental_rules = No rules,parental_rules,No rules,moderate,item_specific,{},
84,teen_social_life_support_084,option_coverage,additional coverage for parental_rules = A few loose rules,parental_rules,A few loose rules,strong,item_specific,{},
85,teen_social_life_support_085,option_coverage,additional coverage for parental_rules = Some clear rules,parental_rules,Some clear rules,moderate,item_specific,{},
86,teen_social_life_support_086,option_coverage,additional coverage for parental_rules = Very strict rules,parental_rules,Very strict rules,strong,item_specific,{},
87,teen_social_life_support_087,option_coverage,additional coverage for primary_platform = TikTok,primary_platform,TikTok,moderate,item_specific,{},
88,teen_social_life_support_088,option_coverage,additional coverage for primary_platform = Instagram,primary_platform,Instagram,strong,item_specific,{},
89,teen_social_life_support_089,option_coverage,additional coverage for primary_platform = YouTube,primary_platform,YouTube,moderate,item_specific,{},
90,teen_social_life_support_090,option_coverage,additional coverage for primary_platform = Snapchat,primary_platform,Snapchat,strong,item_specific,{},
91,teen_social_life_support_091,option_coverage,additional coverage for primary_platform = Another platform,primary_platform,Another platform,moderate,item_specific,{},
92,teen_social_life_support_092,option_coverage,additional coverage for primary_platform = I do not use social media,primary_platform,I do not use social media,strong,item_specific,{},
93,teen_social_life_support_093,option_coverage,additional coverage for school_effort = Never,school_effort,Never,moderate,item_specific,{},
94,teen_social_life_support_094,option_coverage,additional coverage for school_effort = Rarely,school_effort,Rarely,strong,item_specific,{},
95,teen_social_life_support_095,option_coverage,additional coverage for school_effort = Sometimes,school_effort,Sometimes,moderate,item_specific,{},
96,teen_social_life_support_096,option_coverage,additional coverage for school_effort = Often,school_effort,Often,strong,item_specific,{},
97,teen_social_life_support_097,option_coverage,additional coverage for academic_confidence = Not at all confident,academic_confidence,Not at all confident,moderate,item_specific,{},
98,teen_social_life_support_098,option_coverage,additional coverage for academic_confidence = A little confident,academic_confidence,A little confident,strong,item_specific,{},
99,teen_social_life_support_099,option_coverage,additional coverage for academic_confidence = Somewhat confident,academic_confidence,Somewhat confident,moderate,item_specific,{},
100,teen_social_life_support_100,option_coverage,additional coverage for academic_confidence = Very confident,academic_confidence,Very confident,strong,item_specific,{},
101,teen_social_life_support_101,option_coverage,additional coverage for homework_distraction = Never,homework_distraction,Never,moderate,item_specific,{},
102,teen_social_life_support_102,option_coverage,additional coverage for homework_distraction = Rarely,homework_distraction,Rarely,strong,item_specific,{},
103,teen_social_life_support_103,option_coverage,additional coverage for homework_distraction = Sometimes,homework_distraction,Sometimes,moderate,item_specific,{},
104,teen_social_life_support_104,option_coverage,additional coverage for homework_distraction = Often,homework_distraction,Often,strong,item_specific,{},
105,teen_social_life_support_105,option_coverage,additional coverage for organized_activity = Never,organized_activity,Never,moderate,item_specific,{},
106,teen_social_life_support_106,option_coverage,additional coverage for organized_activity = Less than once a week,organized_activity,Less than once a week,strong,item_specific,{},
107,teen_social_life_support_107,option_coverage,additional coverage for organized_activity = One or two days a week,organized_activity,One or two days a week,moderate,item_specific,{},
108,teen_social_life_support_108,option_coverage,additional coverage for organized_activity = Three or more days a week,organized_activity,Three or more days a week,strong,item_specific,{},
109,teen_social_life_support_109,option_coverage,additional coverage for career_clarity = No clear idea,career_clarity,No clear idea,moderate,item_specific,{},
