job_id,target_id,model,service_name,valid,raw_sum,min_probability,max_probability
teen_social_candidate_priors_one_shot_social_media_hours,marginal:social_media_hours,gpt-5.5,openai,True,1.0,0.13,0.45
teen_social_candidate_priors_one_shot_social_media_hours,marginal:social_media_hours,anthropic/claude-opus-5,deep_infra,True,1.0,0.1,0.47
teen_social_candidate_priors_one_shot_social_media_hours,marginal:social_media_hours,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_posting_frequency,marginal:posting_frequency,gpt-5.5,openai,True,1.0,0.18,0.33
teen_social_candidate_priors_one_shot_posting_frequency,marginal:posting_frequency,anthropic/claude-opus-5,deep_infra,True,1.0,0.19,0.32
teen_social_candidate_priors_one_shot_posting_frequency,marginal:posting_frequency,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_late_night_use,marginal:late_night_use,gpt-5.5,openai,True,1.0,0.11,0.38
teen_social_candidate_priors_one_shot_late_night_use,marginal:late_night_use,anthropic/claude-opus-5,deep_infra,True,1.0,0.05,0.42
teen_social_candidate_priors_one_shot_late_night_use,marginal:late_night_use,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_sleep_interference,marginal:sleep_interference,gpt-5.5,openai,True,1.0,0.1,0.39
teen_social_candidate_priors_one_shot_sleep_interference,marginal:sleep_interference,anthropic/claude-opus-5,deep_infra,True,1.0,0.09,0.42
teen_social_candidate_priors_one_shot_sleep_interference,marginal:sleep_interference,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_social_comparison,marginal:social_comparison,gpt-5.5,openai,True,1.0,0.13,0.42
teen_social_candidate_priors_one_shot_social_comparison,marginal:social_comparison,anthropic/claude-opus-5,deep_infra,True,1.0,0.14,0.39
teen_social_candidate_priors_one_shot_social_comparison,marginal:social_comparison,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_connection_effect,marginal:connection_effect,gpt-5.5,openai,True,1.0,0.16,0.54
teen_social_candidate_priors_one_shot_connection_effect,marginal:connection_effect,anthropic/claude-opus-5,deep_infra,True,1.0,0.12,0.59
teen_social_candidate_priors_one_shot_connection_effect,marginal:connection_effect,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_parental_rules,marginal:parental_rules,gpt-5.5,openai,True,1.0,0.14,0.37
teen_social_candidate_priors_one_shot_parental_rules,marginal:parental_rules,anthropic/claude-opus-5,deep_infra,True,1.0,0.12,0.34
teen_social_candidate_priors_one_shot_parental_rules,marginal:parental_rules,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_primary_platform,marginal:primary_platform,gpt-5.5,openai,True,1.0,0.03,0.37
teen_social_candidate_priors_one_shot_primary_platform,marginal:primary_platform,anthropic/claude-opus-5,deep_infra,True,1.0,0.04,0.31
teen_social_candidate_priors_one_shot_primary_platform,marginal:primary_platform,gemini-3.1-pro,google,False,,,
teen_social_candidate_priors_one_shot_social_media_hours,marginal:social_media_hours,google/gemini-3.1-pro,deep_infra,True,1.0,0.1,0.57
teen_social_candidate_priors_one_shot_posting_frequency,marginal:posting_frequency,google/gemini-3.1-pro,deep_infra,True,1.0,0.21,0.31
teen_social_candidate_priors_one_shot_late_night_use,marginal:late_night_use,google/gemini-3.1-pro,deep_infra,True,1.0,0.05,0.45
teen_social_candidate_priors_one_shot_sleep_interference,marginal:sleep_interference,google/gemini-3.1-pro,deep_infra,True,1.0,0.08,0.42
teen_social_candidate_priors_one_shot_social_comparison,marginal:social_comparison,google/gemini-3.1-pro,deep_infra,True,1.0,0.16,0.38
teen_social_candidate_priors_one_shot_connection_effect,marginal:connection_effect,google/gemini-3.1-pro,deep_infra,True,1.0,0.09,0.74
teen_social_candidate_priors_one_shot_parental_rules,marginal:parental_rules,google/gemini-3.1-pro,deep_infra,True,1.0,0.12,0.36
teen_social_candidate_priors_one_shot_primary_platform,marginal:primary_platform,google/gemini-3.1-pro,deep_infra,True,1.0,0.03,0.43
