job_id,mode,holdout,valid,raw_sum,min_probability,max_probability
teen_social_candidate_priors_one_shot_social_media_hours,one_shot,social_media_hours,True,1.0,0.13,0.45
teen_social_candidate_priors_one_shot_social_media_hours,one_shot,social_media_hours,True,1.0,0.1,0.47
teen_social_candidate_priors_one_shot_social_media_hours,one_shot,social_media_hours,False,,,
teen_social_candidate_priors_one_shot_posting_frequency,one_shot,posting_frequency,True,1.0,0.18,0.33
teen_social_candidate_priors_one_shot_posting_frequency,one_shot,posting_frequency,True,1.0,0.19,0.32
teen_social_candidate_priors_one_shot_posting_frequency,one_shot,posting_frequency,False,,,
teen_social_candidate_priors_one_shot_late_night_use,one_shot,late_night_use,True,1.0,0.11,0.38
teen_social_candidate_priors_one_shot_late_night_use,one_shot,late_night_use,True,1.0,0.05,0.42
teen_social_candidate_priors_one_shot_late_night_use,one_shot,late_night_use,False,,,
teen_social_candidate_priors_one_shot_sleep_interference,one_shot,sleep_interference,True,1.0,0.1,0.39
teen_social_candidate_priors_one_shot_sleep_interference,one_shot,sleep_interference,True,1.0,0.09,0.42
teen_social_candidate_priors_one_shot_sleep_interference,one_shot,sleep_interference,False,,,
teen_social_candidate_priors_one_shot_social_comparison,one_shot,social_comparison,True,1.0,0.13,0.42
teen_social_candidate_priors_one_shot_social_comparison,one_shot,social_comparison,True,1.0,0.14,0.39
teen_social_candidate_priors_one_shot_social_comparison,one_shot,social_comparison,False,,,
teen_social_candidate_priors_one_shot_connection_effect,one_shot,connection_effect,True,1.0,0.16,0.54
teen_social_candidate_priors_one_shot_connection_effect,one_shot,connection_effect,True,1.0,0.12,0.59
teen_social_candidate_priors_one_shot_connection_effect,one_shot,connection_effect,False,,,
teen_social_candidate_priors_one_shot_parental_rules,one_shot,parental_rules,True,1.0,0.14,0.37
teen_social_candidate_priors_one_shot_parental_rules,one_shot,parental_rules,True,1.0,0.12,0.34
teen_social_candidate_priors_one_shot_parental_rules,one_shot,parental_rules,False,,,
teen_social_candidate_priors_one_shot_primary_platform,one_shot,primary_platform,True,1.0,0.03,0.37
teen_social_candidate_priors_one_shot_primary_platform,one_shot,primary_platform,True,1.0,0.04,0.31
teen_social_candidate_priors_one_shot_primary_platform,one_shot,primary_platform,False,,,
