job_id,support_id,status,code,message,item,raw_sum,min_probability,max_probability
trust_coverage_n12_001,1,ok,,,courts,1.0,0.14,0.68
trust_coverage_n12_001,1,ok,,,parliament,1.0,0.11,0.7
trust_coverage_n12_001,1,ok,,,police,1.0,0.17,0.66
trust_coverage_n12_001,1,ok,,,civil_service,1.0,0.14,0.72
trust_coverage_n12_002,2,ok,,,courts,1.0,0.03,0.77
trust_coverage_n12_002,2,ok,,,parliament,1.0,0.02,0.84
trust_coverage_n12_002,2,ok,,,police,1.0,0.04,0.74
trust_coverage_n12_002,2,ok,,,civil_service,1.0,0.03,0.73
trust_coverage_n12_003,3,ok,,,courts,1.0,0.03,0.78
trust_coverage_n12_003,3,ok,,,parliament,1.0,0.16,0.63
trust_coverage_n12_003,3,ok,,,police,1.0,0.09,0.46
trust_coverage_n12_003,3,ok,,,civil_service,1.0000000000000002,0.1,0.56
trust_coverage_n12_004,4,ok,,,courts,1.0,0.04,0.72
trust_coverage_n12_004,4,ok,,,parliament,1.0,0.05,0.62
trust_coverage_n12_004,4,ok,,,police,1.0,0.08,0.49
trust_coverage_n12_004,4,ok,,,civil_service,1.0,0.07,0.55
trust_coverage_n12_005,5,ok,,,courts,1.0,0.15,0.67
trust_coverage_n12_005,5,ok,,,parliament,1.0,0.08,0.52
trust_coverage_n12_005,5,ok,,,police,1.0,0.12,0.48
trust_coverage_n12_005,5,ok,,,civil_service,1.0,0.2,0.58
trust_coverage_n12_006,6,ok,,,courts,1.0,0.06,0.58
trust_coverage_n12_006,6,ok,,,parliament,1.0,0.03,0.78
trust_coverage_n12_006,6,ok,,,police,0.9999999999999999,0.1,0.47
trust_coverage_n12_006,6,ok,,,civil_service,1.0,0.07,0.54
trust_coverage_n12_007,7,ok,,,courts,1.0,0.18,0.58
trust_coverage_n12_007,7,ok,,,parliament,1.0,0.08,0.58
trust_coverage_n12_007,7,ok,,,police,1.0,0.22,0.55
trust_coverage_n12_007,7,ok,,,civil_service,1.0,0.16,0.57
trust_coverage_n12_008,8,ok,,,courts,0.9999999999999999,0.08,0.5
trust_coverage_n12_008,8,ok,,,parliament,1.0,0.18,0.62
trust_coverage_n12_008,8,ok,,,police,1.0,0.02,0.78
trust_coverage_n12_008,8,ok,,,civil_service,0.9999999999999999,0.12,0.58
trust_coverage_n12_009,9,ok,,,courts,1.0,0.1,0.5
trust_coverage_n12_009,9,ok,,,parliament,1.0,0.07,0.48
trust_coverage_n12_009,9,ok,,,police,1.0,0.05,0.68
trust_coverage_n12_009,9,ok,,,civil_service,1.0,0.12,0.58
trust_coverage_n12_010,10,ok,,,courts,1.0,0.13,0.55
trust_coverage_n12_010,10,ok,,,parliament,1.0,0.12,0.45
trust_coverage_n12_010,10,ok,,,police,1.0,0.18,0.64
trust_coverage_n12_010,10,ok,,,civil_service,1.0,0.18,0.58
trust_coverage_n12_011,11,ok,,,courts,1.0,0.07,0.48
trust_coverage_n12_011,11,ok,,,parliament,1.0,0.15,0.6
trust_coverage_n12_011,11,ok,,,police,0.9999999999999999,0.1,0.48
trust_coverage_n12_011,11,ok,,,civil_service,1.0,0.02,0.78
trust_coverage_n12_012,12,ok,,,courts,1.0,0.18,0.62
trust_coverage_n12_012,12,ok,,,parliament,1.0,0.1,0.52
trust_coverage_n12_012,12,ok,,,police,1.0,0.16,0.58
trust_coverage_n12_012,12,ok,,,civil_service,1.0,0.07,0.57
