support_id,job_id,variant,persona,valid
1,trust_coverage_n12_001,,coherent response-pattern support point 1,True
2,trust_coverage_n12_002,,coherent response-pattern support point 2,True
3,trust_coverage_n12_003,,response-option coverage support point 3,True
4,trust_coverage_n12_004,,response-option coverage support point 4,True
5,trust_coverage_n12_005,,response-option coverage support point 5,True
6,trust_coverage_n12_006,,response-option coverage support point 6,True
7,trust_coverage_n12_007,,response-option coverage support point 7,True
8,trust_coverage_n12_008,,response-option coverage support point 8,True
9,trust_coverage_n12_009,,response-option coverage support point 9,True
10,trust_coverage_n12_010,,response-option coverage support point 10,True
11,trust_coverage_n12_011,,response-option coverage support point 11,True
12,trust_coverage_n12_012,,response-option coverage support point 12,True
