support_id,job_id,item,option_index,option_code,option_label,probability
1,trust_coverage_n12_001,courts,0,1,A great deal,0.18
1,trust_coverage_n12_001,courts,1,2,Some,0.68
1,trust_coverage_n12_001,courts,2,3,Hardly any,0.14
1,trust_coverage_n12_001,parliament,0,1,A great deal,0.11
1,trust_coverage_n12_001,parliament,1,2,Some,0.7
1,trust_coverage_n12_001,parliament,2,3,Hardly any,0.19
1,trust_coverage_n12_001,police,0,1,A great deal,0.17
1,trust_coverage_n12_001,police,1,2,Some,0.66
1,trust_coverage_n12_001,police,2,3,Hardly any,0.17
1,trust_coverage_n12_001,civil_service,0,1,A great deal,0.14
1,trust_coverage_n12_001,civil_service,1,2,Some,0.72
1,trust_coverage_n12_001,civil_service,2,3,Hardly any,0.14
2,trust_coverage_n12_002,courts,0,1,A great deal,0.03
2,trust_coverage_n12_002,courts,1,2,Some,0.2
2,trust_coverage_n12_002,courts,2,3,Hardly any,0.77
2,trust_coverage_n12_002,parliament,0,1,A great deal,0.02
2,trust_coverage_n12_002,parliament,1,2,Some,0.14
2,trust_coverage_n12_002,parliament,2,3,Hardly any,0.84
2,trust_coverage_n12_002,police,0,1,A great deal,0.04
2,trust_coverage_n12_002,police,1,2,Some,0.22
2,trust_coverage_n12_002,police,2,3,Hardly any,0.74
2,trust_coverage_n12_002,civil_service,0,1,A great deal,0.03
2,trust_coverage_n12_002,civil_service,1,2,Some,0.24
2,trust_coverage_n12_002,civil_service,2,3,Hardly any,0.73
3,trust_coverage_n12_003,courts,0,1,A great deal,0.78
3,trust_coverage_n12_003,courts,1,2,Some,0.19
3,trust_coverage_n12_003,courts,2,3,Hardly any,0.03
3,trust_coverage_n12_003,parliament,0,1,A great deal,0.21
3,trust_coverage_n12_003,parliament,1,2,Some,0.63
3,trust_coverage_n12_003,parliament,2,3,Hardly any,0.16
3,trust_coverage_n12_003,police,0,1,A great deal,0.46
3,trust_coverage_n12_003,police,1,2,Some,0.45
3,trust_coverage_n12_003,police,2,3,Hardly any,0.09
3,trust_coverage_n12_003,civil_service,0,1,A great deal,0.33999999999999997
3,trust_coverage_n12_003,civil_service,1,2,Some,0.5599999999999999
3,trust_coverage_n12_003,civil_service,2,3,Hardly any,0.09999999999999998
4,trust_coverage_n12_004,courts,0,1,A great deal,0.04
4,trust_coverage_n12_004,courts,1,2,Some,0.24
4,trust_coverage_n12_004,courts,2,3,Hardly any,0.72
4,trust_coverage_n12_004,parliament,0,1,A great deal,0.05
4,trust_coverage_n12_004,parliament,1,2,Some,0.33
4,trust_coverage_n12_004,parliament,2,3,Hardly any,0.62
4,trust_coverage_n12_004,police,0,1,A great deal,0.08
4,trust_coverage_n12_004,police,1,2,Some,0.49
4,trust_coverage_n12_004,police,2,3,Hardly any,0.43
4,trust_coverage_n12_004,civil_service,0,1,A great deal,0.07
4,trust_coverage_n12_004,civil_service,1,2,Some,0.55
4,trust_coverage_n12_004,civil_service,2,3,Hardly any,0.38
5,trust_coverage_n12_005,courts,0,1,A great deal,0.18
5,trust_coverage_n12_005,courts,1,2,Some,0.67
5,trust_coverage_n12_005,courts,2,3,Hardly any,0.15
5,trust_coverage_n12_005,parliament,0,1,A great deal,0.08
5,trust_coverage_n12_005,parliament,1,2,Some,0.4
5,trust_coverage_n12_005,parliament,2,3,Hardly any,0.52
