support_id,job_id,item,option_index,option_code,option_label,probability
1,teen_social_001,social_media_hours,0,1,Less than one hour,0.56
1,teen_social_001,social_media_hours,1,2,One to three hours,0.34
1,teen_social_001,social_media_hours,2,3,Four or more hours,0.1
2,teen_social_002,social_media_hours,0,1,Less than one hour,0.05
2,teen_social_002,social_media_hours,1,2,One to three hours,0.88
2,teen_social_002,social_media_hours,2,3,Four or more hours,0.07
3,teen_social_003,social_media_hours,0,1,Less than one hour,0.05
3,teen_social_003,social_media_hours,1,2,One to three hours,0.3
3,teen_social_003,social_media_hours,2,3,Four or more hours,0.65
4,teen_social_004,social_media_hours,0,1,Less than one hour,0.88
4,teen_social_004,social_media_hours,1,2,One to three hours,0.11
4,teen_social_004,social_media_hours,2,3,Four or more hours,0.01
5,teen_social_005,social_media_hours,0,1,Less than one hour,0.01
5,teen_social_005,social_media_hours,1,2,One to three hours,0.04
5,teen_social_005,social_media_hours,2,3,Four or more hours,0.95
